Country,ISO2,ISO3,Counterpart Country,Counterpart ISO2,Counterpart ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Trade Flow,Scale,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
United States,US,USA,"Afghanistan, Islamic Rep. of",AF,AFG,Exports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,106800.0,359967.0,317025.0,139246.0,117807.0,251144.0,32979.0,92053.0,933401.0,6599755.0,8899220.0,21156200.0,11989049.0,25491650.0,29596945.0,164947798.0,215569531.0,551880845.0,405451008.0,372388031.0,143437759.0,53745617.0,40676550.0,38788011.0,55876566.0,82139137.0,94491755.0,9953493.0,1044213.0
United States,US,USA,"Afghanistan, Islamic Rep. of",AF,AFG,Exports of low carbon technology products as share of total exports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,1.70734782608696,1.39524444444444,0.297108108108108,1.53421666666667,1.16821151439299,10.8906848184818,5.64671319796954,8.09342004590666,2.87162850299401,5.21621649273583,6.14426925472286,10.912854647701,10.0153099330979,18.8879860490102,26.647140787567,26.4172626708074,18.1019290242688,10.7545158863377,4.45304093879843,4.13818234894069,4.52844857115559,10.9429086987764,14.0845753246568,4.22343820308696,4.77893118946492
United States,US,USA,"Afghanistan, Islamic Rep. of",AF,AFG,Imports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,16673.0,,7676.0,,,,,,,32094.0,17760.0,1706109.0,7019.0,37915.0,175480.0,103144.0,152552.0,378074.0,25381.0,122427.0,139502.0,172048.0,289518.0,367819.0,287210.0,90419.0,111403.0,70791.0,14010.0
United States,US,USA,"Afghanistan, Islamic Rep. of",AF,AFG,Imports of low carbon technology products as share of total imports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,,,,,0.0510238473767885,0.0704761904761905,2.52010192023634,0.015325327510917,0.0493684895833333,0.201933256616801,0.0829798873692679,0.17494495412844,1.44637657750914,0.0690356325155572,0.268987221486601,0.193711735103903,0.797926563374518,0.863740684114079,2.53983723646838,0.993288103178014,0.249070122416482,0.657057605413915,0.323312020191119,0.0624628527707759
United States,US,USA,"Afghanistan, Islamic Rep. of",AF,AFG,Total trade in low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,123473.0,,324701.0,,,,,,,6631849.0,8916980.0,22862309.0,11996068.0,25529565.0,29772425.0,165050942.0,215722083.0,552258919.0,405476389.0,372510458.0,143577261.0,53917665.0,40966068.0,39155830.0,56163776.0,82229556.0,94603158.0,10024284.0,1058223.0
United States,US,USA,"Afghanistan, Islamic Rep. of",AF,AFG,Trade balance in low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLB,Trade in Low Carbon Technology Products; Trade Balance,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance",Not Applicable,Units,90127.0,,309349.0,,,,,,,6567661.0,8881460.0,19450091.0,11982030.0,25453735.0,29421465.0,164844654.0,215416979.0,551502771.0,405425627.0,372265604.0,143298257.0,53573569.0,40387032.0,38420192.0,55589356.0,82048718.0,94380352.0,9882702.0,1030203.0
United States,US,USA,Albania,AL,ALB,Exports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,20438.0,20000.0,402050.0,179551.0,684569.0,300083.0,361106.0,353287.0,414902.0,266567.0,609824.0,1011953.0,2658692.0,1411858.0,2120565.0,1782386.0,1408886.0,1059981.0,781604.0,2201394.0,832866.0,917481.0,1627954.0,6190058.0,1579974.0,1536568.0,793515.0,2164617.0,2653692.0
United States,US,USA,Albania,AL,ALB,Exports of low carbon technology products as share of total exports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,4.62546621621622,1.42896666666667,1.86137113402062,2.32425657894737,2.74769536423841,2.72007142857143,3.03395024875622,5.47001621621622,9.59816606498195,4.15252352941176,5.28819201995012,3.75239157894737,3.02336051502146,2.2286224078712,1.44521247158728,2.96026246279743,1.62414777512702,2.97647256527612,3.22736767760604,9.94161372271609,2.66675533492762,1.79371211082183,1.39456484995003,2.24765490214191,2.27235419875755
United States,US,USA,Albania,AL,ALB,Imports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,,,,9612.0,58472.0,79622.0,128053.0,58161.0,143323.0,23809.0,,52501.0,16592.0,3265.0,10233.0,7060.0,60696.0,43414.0,42695.0,295552.0,43883.0,462094.0,108190.0,35955.0
United States,US,USA,Albania,AL,ALB,Imports of low carbon technology products as share of total imports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,,,,,,,,0.152571428571429,1.24408510638298,0.65803305785124,0.328341025641026,0.231717131474104,1.4190396039604,0.192008064516129,,0.163046583850932,0.0628154020700613,0.0173145994846772,0.0449277165594528,0.01023651125777,0.0379341320196417,0.0348161784928771,0.102621954276782,0.434472820450717,0.0776598173313961,0.989078937015509,0.161266256865442,0.024827098301002
United States,US,USA,Albania,AL,ALB,Total trade in low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,,,,,,,,,424514.0,325039.0,689446.0,1140006.0,2716853.0,1555181.0,2144374.0,,1461387.0,1076573.0,784869.0,2211627.0,839926.0,978177.0,1671368.0,6232753.0,1875526.0,1580451.0,1255609.0,2272807.0,2689647.0
United States,US,USA,Albania,AL,ALB,Trade balance in low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLB,Trade in Low Carbon Technology Products; Trade Balance,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance",Not Applicable,Units,,,,,,,,,405290.0,208095.0,530202.0,883900.0,2600531.0,1268535.0,2096756.0,,1356385.0,1043389.0,778339.0,2191161.0,825806.0,856785.0,1584540.0,6147363.0,1284422.0,1492685.0,331421.0,2056427.0,2617737.0
United States,US,USA,Algeria,DZ,DZA,Exports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,193940326.0,55383137.0,42780584.0,56831128.0,51862636.0,27049446.0,31031528.0,42200935.0,33914133.0,32345494.0,114286471.0,119640054.0,72112774.0,239575800.0,124707521.0,198016476.0,288589052.0,218610493.0,296877767.0,470317226.0,1560751963.0,674797627.0,173539119.0,140519163.0,156443633.0,242498477.0,124738738.0,168320518.0,128850339.0
United States,US,USA,Algeria,DZ,DZA,Exports of low carbon technology products as share of total exports,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,,,,,7.97763974773112,5.75887715563125,3.55499232443579,4.03026788272371,3.44480782122905,6.63633442757489,11.7566578541302,10.3049142118863,6.54499673261935,14.4977791225416,10.0311712516088,17.8554081154193,24.1658894657511,13.6890354902113,21.7785900446345,25.4403758577845,59.6391293648774,35.9611624751615,7.75736648764028,13.2416761079114,12.5132660716002,24.2662670085122,17.1748618198925,21.471486743609,10.7511544961501
United States,US,USA,Algeria,DZ,DZA,Imports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. [https://comtrade.un.org](https://comtrade.un.org). Access Date: 15-03-2022; International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). [https://data.imf.org/dot](https://data.imf.org/dot). Access Date: 21-03-2022. World Economic Outlook (WEO) Database. [https://www.imf.org/en/Publications/WEO/weo-database/2021/October](https://www.imf.org/en/Publications/WEO/weo-database/2021/October). Access Date: 21-03-2022; IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,,23516.0,,,,34029.0,281749.0,,,23889.0,386614.0,82996.0,55913.0,645666.0,92157.0,99049.0,24413.0,516128.0,148893.0,97009.0,148009.0,431479.0,67668.0,310063.0,609374.0,519827.0,346027.0,5487.0,269489.0
