Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Sector,Scale,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,US,USA,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Accommodation and food services,Units,7323.05567155522,7181.44301794582,6938.50076029249,8049.78620723479,5645.82266980896,6021.08645716735,6414.10243130516,6680.40811287724,7101.36752469006,7772.62547196273,8487.55438756387,9780.80848938915,,
United States,US,USA,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises","Agriculture, forestry and fishing",Units,9920.65246559167,9192.62139554429,9995.76855294517,12604.4017525379,9275.02444016967,10034.9710839969,11546.8933226601,11280.2631494543,10301.094531522,11307.1399242566,9024.77852143666,8325.03516354163,,
United States,US,USA,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises","Arts, entertainment, recreation and other service activities",Units,1955.37704028432,1948.52703904207,1859.61625635025,2198.09306510198,1606.44636963963,1726.75591774858,1738.38766888024,1768.21491950283,1888.20984735824,2076.63190192526,2197.45365976317,2940.00301101713,,
United States,US,USA,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Basic metals,Units,481.417692317235,858.080884285551,491.820413617714,755.35929889693,442.348493980842,591.077198125495,893.915318769712,535.81648946181,675.704410615184,565.203617388229,488.150356415761,434.740433868128,,
United States,US,USA,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Chemicals and pharmaceutical products,Units,13973.5506572304,13047.7413245149,12835.3954910354,11901.7921182061,7828.8171384506,8632.25054318343,8380.39608320933,10735.6337345539,11223.5953422484,13720.4317198715,13051.7547604086,12676.3336607648,,
United States,US,USA,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Coke and refined petroleum products,Units,5409.7253027083,5318.46770412582,2997.99357423698,13656.7901031218,7572.48271708003,11359.4732257977,14693.6723379011,19761.9996516248,23929.8564691313,20227.5506972054,11255.5624699745,7984.53914778078,,
United States,US,USA,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises","Computer, electronic and optical products",Units,7490.79278307108,7793.42581421242,7796.55606375755,7397.25477678326,3178.35663543159,3260.93265147108,3365.49288948676,3421.8923897636,3148.25121506125,2993.17664584186,2743.68014406549,2824.48807341591,,
United States,US,USA,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Construction,Units,4.59255407583949,1.25276337767499,0.561730951074634,0.520223696355749,0.386297450510973,0.465786631842518,1.01372939561335,0.201603830041951,1.04845231155763,0.904893017328255,1.63615487786467,0.719701516958344,,
United States,US,USA,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Education,Units,2816.83803725547,2375.97608146474,2260.17280874745,2578.22830411764,2116.08788516127,2444.41553049068,2820.35383357242,2774.64875201137,2801.22434160057,2929.05714432654,3160.96714281756,3187.70331280723,,
United States,US,USA,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Electrical equipment,Units,3467.91206810896,3428.98382879897,3268.73103651776,3055.72334264526,1689.36398773475,2105.26801381833,2265.74119072537,2357.26858068469,2332.67332160721,2819.5985203741,2383.22591829426,1828.65893794438,,
United States,US,USA,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises","Electricity, gas, water supply, sewerage, waste and remediation services",Units,1909.63524878299,1633.9106095359,1575.13470451659,1968.4611742419,877.761296336791,729.360409596348,508.962714550353,339.601664737981,484.761897609053,750.559732181314,452.840828163157,547.686732040234,,
United States,US,USA,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Fabricated metal products,Units,2749.53421505868,3309.93300257401,2825.47653375357,3615.07219216479,2202.16049755757,2776.08019057539,3386.41247951191,4028.82376893986,4625.18051575231,5006.53647147355,4439.47416684794,4391.46286915036,,
United States,US,USA,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises",Financial and insurance activities,Units,3033.74836228423,2779.47193047323,2286.27668905489,2951.95544519713,2447.69276318517,2461.43997606263,2496.60900803453,2366.96391859043,2637.86839744902,2538.86787723994,2651.06783411958,2256.9074473804,,
United States,US,USA,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,"OECD (2022), OECD FDI Statistics Database, [https://stats.oecd.org/] (https://stats.oecd.org/) accessed on 29-03-2022; OECD (2021), OECD Inter-Country Input-Output Database, [http://oe.cd/icio](http://oe.cd/icio) accessed on 29-03-2022; OECD (2018), OECD Analytical AMNE Database, [https://www.oecd.org/sti/ind/analytical-amne-database.htm](https://www.oecd.org/sti/ind/analytical-amne-database.htm) accessed on 29-03-2022; IMF staff calculations.",ECBIXD,CO2 Emissions in Exports; Of which: Exports of Domestic Controlled Enterprises,"Environment, Climate Change, Cross-Border, Direct Investment-Related, CO2 Emissions in Exports , Of which: Exports of Domestic Controlled Enterprises","Food products, beverages and tobacco",Units,10644.8771825421,10079.3833437703,8376.06980613202,13264.2764209743,9390.99343160897,10689.7962001912,11615.1940573155,13330.1805676371,12324.7155656325,13192.7397152476,12100.6135860837,10230.9518561095,,
