Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Climate Influence,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,US,USA,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,97.31036872372701,97.31383380667249,97.369482241247,97.6588216701875,97.8384241229371,97.9370476488903,98.1873064638559,98.4330397720278,98.7196330429362,98.979985807737,99.0993373765442,99.18812524135541,99.23301950772091,99.3071366296367,99.3614471842033,99.4523327998385,99.52626247766369,99.56213489586,99.6402652678773,99.6889001375414,99.7596055396135,99.8471474100064,99.94438319406399,100.0,100.055021128242,100.176743545027,100.566333760532,100.83952073824601,100.877267511282
United States,US,USA,Artificial surfaces (including urban and associated areas),1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCS,Artificial Surfaces (Including Urban and Associated Areas),"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Artificial Surfaces (Including Urban and Associated Areas)",Climate altering,6032.8055,6225.3379,6415.9404,6608.821599999999,6799.633400000001,6967.1532,7118.7342,7245.0295,7379.8405,7724.175,7985.55,8165.475,8289.3,8533.05,8781.075,9003.3,9171.9,9338.775,9500.7,9648.15,9829.725,10075.125,10294.275,10412.475,10566.675,10728.9,10819.275,10912.725,10912.875
United States,US,USA,Grassland,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCG,Grassland,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Grassland",Climate regulating,199900.32080000002,199860.53280000002,199817.8825,199732.9824,199505.8276,199327.33359999998,199461.023,199640.1209,199536.6794,199462.9315,199426.2007,199409.3007,199414.904,199379.3566,199373.38280000002,199328.5466,199254.1215,199208.1503,199320.82830000002,199386.682,199374.4999,199343.4819,199282.0567,199244.8031,199073.9496,199004.4278,199680.669,200952.807,201022.4033
United States,US,USA,Herbaceous crops,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCH,Herbaceous Crops,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Herbaceous Crops",Climate altering,151507.73969999998,151320.9152,151220.26940000002,151495.9172,151595.7731,151587.9412,151841.51280000003,152112.9953,152442.1292,152519.3057,152451.07419999997,152414.9518,152363.9846,152240.1715,152080.0695,152005.09219999998,151955.9614,151847.4826,151811.7913,151743.0882,151675.8945,151572.4056,151510.5699,151482.53,151417.1291,151452.337,151992.54919999998,152341.42859999998,152408.3466
United States,US,USA,Inland water bodies,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCW,Inland Water Bodies,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Inland Water Bodies",Climate regulating,18850.6,18849.1,18847.4,18875.3,18944.5,18984.3,19034.3,19111.1,19139.5,19123.5,19120.2,19109.3,19085.0,19081.2,19078.8,19066.9,19046.5,19070.4,19073.5,19084.3,19083.7,19089.4,19086.9,19085.6,19112.4,19138.7,19149.4,19171.1,19179.1
United States,US,USA,Mangroves,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCM,Mangroves,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Mangroves",Climate regulating,192.172,191.99370000000002,191.893,191.68370000000002,191.40470000000002,191.1799,191.0327,191.0249,190.9939,190.6142,190.3971,190.2654,190.1646,190.17239999999998,189.9631,190.2034,190.2809,190.2189,190.1336,190.1336,190.0794,190.0484,190.01739999999998,190.01739999999998,190.2654,190.1104,189.8546,189.25779999999997,189.11829999999998
United States,US,USA,Permanent snow and glaciers,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCL,Permanent Snow and Glaciers,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Permanent Snow and Glaciers",Climate regulating,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.7542,6536.5217
United States,US,USA,Shrub-covered areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCC,Shrub-Covered Areas,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Shrub-Covered Areas",Climate regulating,202541.9152,202502.815,202468.1965,202425.3134,202047.9021,201764.6044,201595.0755,200737.63090000002,200299.9902,200090.45,200096.459,200001.33969999998,199826.92190000002,199743.50069999998,199781.6019,199829.43230000001,199897.1077,199924.3162,200059.55,200239.5634,200338.6726,200419.82119999998,200405.0967,200393.1702,200452.9719,200423.90569999997,200999.1508,201428.1209,201446.1535
United States,US,USA,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCV,Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded",Climate regulating,12527.3,12523.1,12518.8,12309.0,12176.6,12019.5,11641.1,10937.9,9941.3955,9185.023,8819.7141,8447.546,8020.597900000001,7955.099,7789.449,7739.9004,7708.379400000001,7613.9559,7624.2562,7622.217900000001,7627.557900000001,7623.6284000000005,7622.706099999999,7622.5976,7617.598599999999,7599.2921,7632.5957,7717.1374000000005,7725.4304
United States,US,USA,Sparsely natural vegetated areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCN,Sparsely Natural Vegetated Areas,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Sparsely Natural Vegetated Areas",Climate neutral,18636.243,18635.643,18635.343,18603.0508,18622.1515,18643.2593,18680.644600000003,18760.5328,18873.7366,18952.8769,19002.5954,19050.2752,19085.2597,19100.5062,19142.6139,19154.698399999997,19252.5069,19252.692199999998,19283.2922,19306.8154,19317.946399999997,19361.570399999997,19370.0859,19379.185899999997,19373.4217,19372.880100000002,19394.089,19423.3482,19414.0996
United States,US,USA,Terrestrial barren land,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCT,Terrestrial Barren Land,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Terrestrial Barren Land",Climate neutral,18221.442300000002,18220.0423,18218.7423,18222.3423,18221.942300000002,18223.8423,18227.942300000002,18231.1423,18235.8423,18244.442300000002,18250.1423,18265.1423,18272.6423,18279.2423,18286.442300000002,18299.35,18331.55,18345.55,18359.6578,18363.057800000002,18365.3578,18384.8578,18392.057800000002,18400.2578,18407.557800000002,18409.057800000002,18406.6578,18464.1578,18458.1345
United States,US,USA,Tree-covered areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCE,Tree-Covered Areas,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Tree-Covered Areas",Climate regulating,296011.105,295999.4902,295986.8191,295769.83030000003,296096.3106,296306.9356,296211.29939999996,296840.2215,297762.3197,298308.4267,298400.6823,298658.69560000004,299160.4509,299175.65280000004,299143.3309,298996.44139999995,298783.6953,298782.3816,298327.2114,297945.64060000004,297703.9862,297459.2185,297375.4534,297328.8838,297336.1457,297239.03260000004,295284.352,292942.844,292820.3777
United States,US,USA,Woody crops,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCR,Woody Crops,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Woody Crops",Climate regulating,1728.4128999999998,1821.6671000000001,1828.5502,1916.2039,1947.8134,2133.9354,2147.2988,2341.9613999999997,2347.0287999999996,2347.7886000000003,2406.0507000000002,2437.1209,2441.2102999999997,2472.1656000000003,2503.3711000000003,2536.8633,2557.4556000000002,2577.3912,2598.9154,2620.2424,2641.9683999999997,2630.9004,2620.6302,2611.0157999999997,2600.8248,2592.4281,2601.675,2607.6468,2608.7922000000003
