Country,ISO2,ISO3,Indicator,Variable,Unit,Model,Scenarios,Source,CTS Code,CTS Name,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,GCAM,Below 2°C,,,,,14.30098,14.50959,14.68799,14.84656,14.97075,15.0531,15.10258
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,GCAM,Current Policies,,,,,14.25865,14.41171,14.56907,14.71987,14.89008,15.07052,15.2561
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,GCAM,Delayed transition,,,,,14.30006,14.49378,14.66363,14.86521,15.02773,15.1355,15.18173
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,GCAM,Fragmented World,,,,,14.30674,14.50757,14.66762,14.84899,14.99117,15.13774,15.28068
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,GCAM,Low Demand,,,,,14.29984,14.48788,14.66049,14.8091,14.9153,14.97333,14.94472
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,GCAM,Nationally Determined Contributions (NDCs),,,,,14.30713,14.51215,14.67374,14.85319,15.00088,15.15172,15.31905
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,GCAM,Net Zero 2050,,,,,14.30125,14.51521,14.69536,14.83829,14.92529,14.96265,14.92245
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Below 2°C,,,,,14.28229,14.49717,14.69939,14.85171,14.96265,15.04193,15.0839
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Current Policies,,,,,14.28846,14.50677,14.66403,14.84369,14.99594,15.14313,15.30206
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Delayed transition,,,,,14.2821,14.49304,14.65981,14.87089,15.02026,15.11169,15.16472
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Fragmented World,,,,,14.28861,14.506,14.66454,14.87184,15.02048,15.12577,15.23875
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Low Demand,,,,,14.28231,14.49865,14.73438,14.85284,14.90005,14.91414,14.90113
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),,,,,14.2888,14.50843,14.66543,14.84386,14.97759,15.09554,15.21879
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Net Zero 2050,,,,,14.28231,14.49804,14.71358,14.82151,14.87017,14.88348,14.86544
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Below 2°C,,,,,14.28731505,14.49254558,14.65608886,14.8123269,14.9092827,14.97049826,14.98937622
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Current Policies,,,,,14.28731505,14.50167579,14.64990572,14.83122654,14.97839969,15.13309673,15.30876282
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Delayed transition,,,,,14.28731505,14.50167579,14.64990572,14.82264431,14.96968894,15.04488409,15.04326261
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Fragmented World,,,,,14.28731505,14.50167579,14.64990572,14.82792214,14.97038466,15.09441008,15.20999144
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Low Demand,,,,,14.28731505,14.50126328,14.66140698,14.74982081,14.75019504,14.70719574,14.64267973
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),,,,,14.28731505,14.50119043,14.65007372,14.82530916,14.93349026,15.03037913,15.12759906
United States,US,USA,Surface temperature,50th percentile,Degree Celsius,REMIND-MAgPIE,Net Zero 2050,,,,,14.28731505,14.49595581,14.65628559,14.76676291,14.79175004,14.78633469,14.76939075
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,GCAM,Below 2°C,,,,,14.16697,14.30082,14.43134,14.53136,14.60024,14.65104,14.67982
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,GCAM,Current Policies,,,,,14.16656,14.29694,14.41773,14.54516,14.67744,14.80294,14.93198
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,GCAM,Delayed transition,,,,,14.16661,14.29418,14.42059,14.55959,14.65477,14.71949,14.74628
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,GCAM,Fragmented World,,,,,14.16669,14.29629,14.41828,14.54606,14.65657,14.76139,14.84759
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,GCAM,Low Demand,,,,,14.1664,14.29352,14.41272,14.51102,14.56021,14.58079,14.55382
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,GCAM,Nationally Determined Contributions (NDCs),,,,,14.16692,14.29926,14.42415,14.54574,14.65989,14.77539,14.88049
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,GCAM,Net Zero 2050,,,,,14.16706,14.30545,14.43194,14.51246,14.54721,14.56645,14.52637
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Below 2°C,,,,,14.15877,14.31132,14.44552,14.5438,14.60817,14.64184,14.65799
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Current Policies,,,,,14.15849,14.30889,14.42216,14.55194,14.67809,14.78079,14.87578
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Delayed transition,,,,,14.1585,14.30578,14.42246,14.57619,14.66418,14.70492,14.72092
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Fragmented World,,,,,14.15864,14.30876,14.42222,14.56771,14.67393,14.74869,14.79589
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Low Demand,,,,,14.15878,14.31025,14.44553,14.50185,14.51618,14.50421,14.47551
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),,,,,14.15887,14.31079,14.42104,14.54687,14.64857,14.72628,14.79095
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Net Zero 2050,,,,,14.15878,14.31289,14.44945,14.51269,14.52887,14.50754,14.48697
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Below 2°C,,,,,14.15537429,14.30151435,14.4213131,14.52410674,14.57208753,14.58300215,14.58670669
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Current Policies,,,,,14.15537429,14.30088952,14.41434749,14.53912365,14.65226428,14.75161091,14.84691556
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Delayed transition,,,,,14.15537429,14.30088952,14.41434749,14.53727136,14.61537135,14.64156307,14.61497359
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Fragmented World,,,,,14.15537429,14.30088952,14.41434749,14.5360934,14.63455562,14.7100955,14.76401133
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Low Demand,,,,,14.15537429,14.30678976,14.41405633,14.46643033,14.42585868,14.36548445,14.29801619
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),,,,,14.15537429,14.2992196,14.41199661,14.52273626,14.59928308,14.65825659,14.69332885
United States,US,USA,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Net Zero 2050,,,,,14.15537429,14.30167515,14.415704,14.47992806,14.46884606,14.43079108,14.39813834
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,GCAM,Below 2°C,,,,,14.44586,14.73436,15.03211,15.30117,15.49515,15.65093,15.80568
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,GCAM,Current Policies,,,,,14.40999,14.65907,14.89479,15.13091,15.39304,15.63268,15.90243
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,GCAM,Delayed transition,,,,,14.44506,14.71589,14.97773,15.30218,15.5417,15.72872,15.8861
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,GCAM,Fragmented World,,,,,14.41023,14.65891,14.89503,15.14376,15.39845,15.60067,15.8185
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,GCAM,Low Demand,,,,,14.44482,14.70959,14.9868,15.24368,15.4249,15.55799,15.5987
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,GCAM,Nationally Determined Contributions (NDCs),,,,,14.4105,14.66557,14.90782,15.15335,15.40779,15.61696,15.85599
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,GCAM,Net Zero 2050,,,,,14.44613,14.74153,15.04952,15.30443,15.46791,15.57615,15.58271
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Below 2°C,,,,,14.42343,14.73057,15.04795,15.30979,15.4896,15.63151,15.78893
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Current Policies,,,,,14.38958,14.66564,14.88082,15.12478,15.39723,15.61484,15.86437
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Delayed transition,,,,,14.42322,14.72249,14.96288,15.304,15.55007,15.70774,15.86767
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Fragmented World,,,,,14.38968,14.6651,14.88163,15.17109,15.44235,15.62803,15.81414
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Low Demand,,,,,14.42346,14.73308,15.10443,15.34369,15.46604,15.53738,15.59583
United States,US,USA,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),,,,,14.38988,14.66986,14.89025,15.12965,15.38843,15.57193,15.77849
