Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Industry,Gas Type,Scale,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
United States,US,USA,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Agriculture,Carbon dioxide,Units,7.964360685,7.888409039,7.867487019,7.885308307,8.03409715,8.269008954,8.41709035,8.4352372,8.547217035,8.472377183,8.491963452,8.562718595,8.435236032,8.81096796,8.699891539,9.230029307,9.11870632,9.097933318,9.120661312,9.292283555,7.08385119,7.322246883,6.862951057,6.4218782,6.824399902,7.049364592,6.95542732,6.971372857,7.667593127,7.474641195,7.541202062,7.824789385,8.548797785,8.259927139,7.555056829,7.853709059,7.875120206,8.221504301,8.637634842,7.224287357,8.561542206,7.970339155,10.25901823,8.350435913,8.121595207,8.391282966,7.760909371,7.977062626,7.266562484,7.552860345,7.656522429,7.534839786,,,,,,,,,
United States,US,USA,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Agriculture,Greenhouse gas,Units,353.2288516,362.318412,364.6219878,371.5876201,375.1570273,392.9084033,384.238345,380.8510076,381.0766556,384.3991458,389.468073,396.6780769,386.9271737,379.0915956,387.6706642,377.9302427,368.0268889,363.4267111,357.6969419,363.6831537,551.8899152,543.17692,543.9302498,571.9393533,558.7074267,571.0288727,578.5745362,566.6358487,574.5014649,567.6660303,553.6191809,572.8625213,575.0094367,573.5960122,581.1568074,573.6320627,569.1457317,588.9277705,581.4404998,584.7543486,592.7645558,574.2562818,556.725956,597.7368486,606.5286871,613.5295271,601.8662557,603.1956926,616.720209,622.86079,594.6685306,589.364899,,,,,,,,,
United States,US,USA,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Agriculture,Methane,Units,218.2575429,223.5218868,224.2425471,226.5620801,234.458809,236.7240916,230.2116149,226.7528023,224.1058835,220.1788918,227.0183258,232.9339748,230.3087394,223.5439034,224.1884205,218.2668517,212.3200097,208.1761534,209.1718001,206.0015407,214.6788335,216.7604932,220.1753793,225.2406484,229.5707095,235.4351713,233.917981,230.9721029,234.1326145,234.9471238,234.7364714,231.6455476,235.0621839,232.539451,228.5467714,235.4690164,234.9390886,243.407524,239.1534188,239.271174,242.0491677,236.4822649,236.0636347,231.4610947,230.7653894,237.999213,244.667842,247.7676655,251.0783652,250.3326617,250.9103098,245.0600463,,,,,,,,,
United States,US,USA,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Agriculture,Nitrous oxide,Units,127.006948,130.9081161,132.5119536,137.1402317,132.6641212,147.9153028,145.6096398,145.6629681,148.423555,155.7478769,153.9577838,155.1813835,148.1831983,146.7367243,154.7823522,150.4333617,146.5881729,146.1526244,139.4044805,148.3893294,330.1272305,319.0941799,316.8919194,340.2768267,322.3123172,328.5443368,337.7011279,328.6923729,332.7012573,325.2442653,311.3415074,333.3921843,331.398455,332.7966342,345.0549792,330.3093373,326.3315229,337.2987422,333.6494461,338.2588872,342.1538459,329.8036778,310.403303,357.9253179,367.6417025,367.1390311,349.4375044,347.4509645,358.3752814,364.9752679,336.1016984,336.7700129,,,,,,,,,
United States,US,USA,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Buildings and other Sectors,Carbon dioxide,Units,883.6566417,895.5281829,908.5079688,874.0004492,839.7570323,827.8792501,879.4640965,842.4009986,839.5205404,799.1704589,700.5893925,657.2524394,649.1505216,636.7544293,660.5053821,643.8733018,626.3085324,634.6624686,671.54721,671.1065327,567.2340739,580.7369124,582.383672,589.4210224,582.0829438,581.2535313,621.3640738,603.1822742,552.0570334,571.9550237,608.5397931,591.8039449,590.372822,620.5358291,607.3020895,586.2854435,533.7807541,564.5165136,575.6634584,564.7391425,559.4881664,550.9564844,483.0144159,553.7131876,579.3484398,562.3267943,524.6534113,525.7084665,584.3438667,592.3775717,542.8549527,548.4242126,,,,,,,,,
United States,US,USA,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Buildings and other Sectors,Greenhouse gas,Units,901.0028363,912.605946,925.2751771,890.2763895,856.7198564,845.4856172,897.6551507,860.2561002,858.1676112,819.9444842,719.3866464,675.9624134,667.8831011,656.2926107,680.3032136,663.6567628,645.7601176,654.3932437,691.3238714,691.9219552,574.9839819,588.7461392,590.6453028,596.9624773,589.2752388,588.4003088,628.8510529,609.6660953,557.820622,577.9276526,614.9222697,597.7023064,596.3251938,626.8105937,613.6130468,592.6410082,539.4584579,570.6696549,582.2198201,571.5336526,566.5466655,557.8098879,488.8157283,560.9193776,586.7490566,569.2321592,530.8691524,531.7854116,591.3964069,599.6433644,549.2181954,554.8119837,,,,,,,,,
United States,US,USA,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Buildings and other Sectors,Methane,Units,10.37530043,10.07867016,9.765368008,9.332520005,10.10711485,10.62654637,10.85956334,10.38367409,10.88178368,12.54011003,11.41996626,11.60408397,11.75517275,12.46907362,12.52817876,12.17970502,11.83866235,12.17136088,11.983666,13.1923905,6.31584292,6.537206301,6.769483045,6.160330291,5.862414747,5.832107509,6.098505528,5.244714,4.659124266,4.822987041,5.149972948,4.730228831,4.798346779,5.048817724,5.075318376,5.133703344,4.589761172,4.991186151,5.335357608,5.547587656,5.783272646,5.620996059,4.764828375,5.954203868,6.111390573,5.655221299,5.09526458,4.9829706,5.804848731,5.977685195,5.224207849,5.209718204,,,,,,,,,
United States,US,USA,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Buildings and other Sectors,Nitrous oxide,Units,6.970894259,6.999092889,7.001840306,6.943420331,6.85570927,6.979820659,7.331490816,7.471427432,7.765287134,8.233915324,7.377287611,7.105889958,6.977406719,7.069107742,7.269652746,7.603755942,7.612922827,7.559414205,7.792995336,7.623032018,1.434065073,1.47202051,1.492147792,1.381124602,1.329880282,1.314669985,1.388473556,1.23910713,1.104464359,1.149641924,1.232503606,1.168132615,1.154025059,1.22594692,1.23563891,1.221861367,1.087942589,1.161955118,1.221004045,1.246922475,1.275226468,1.232407391,1.036483983,1.251986126,1.28922627,1.25014364,1.120476511,1.093974532,1.24769151,1.288107549,1.139034777,1.178052904,,,,,,,,,
United States,US,USA,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Chemical Industry,Carbon dioxide,Units,34.90421921,34.31808639,37.00191832,39.67041742,37.79825358,33.14735909,43.0771751,47.37917877,43.47053233,47.39120182,44.43042252,44.85465892,35.7792032,39.04989313,43.17267738,44.48184628,43.50771412,42.97404797,46.35971165,40.74926895,44.3121311,45.49955121,47.20406635,48.14609006,51.13004473,52.06547312,53.15365982,55.05953859,56.44371337,56.35174563,54.31402379,46.4482826,48.72163655,47.10330573,50.43973636,46.553766,46.49222993,48.99550627,43.88540643,41.69374433,50.16789384,48.39773914,48.73554921,49.32465563,46.71474999,52.79302228,52.87695316,54.41212937,56.01359752,58.2386418,57.57332958,57.56430042,,,,,,,,,
United States,US,USA,Annual Net Emissions/Removals,Million metric tons of CO2 equivalent,"United Nations Framework Convention on Climate Change (UNFCCC). 2022. Greenhouse Gas Inventory Data - Detailed data by Party - Annex I. https://di.unfccc.int/detailed_data_by_party. Accessed on 2022-11-07. Copyright 2022 United Nations Framework Convention on Climate Change; EDGARv7.0, Crippa, M., Guizzardi, D., Banja, M., Solazzo, E., Muntean, M., Schaaf, E., Pagani, F., Monforti-Ferrario, F., Olivier, J., Quadrelli, R., Risquez Martin, A., Taghavi-Moharamli, P., Grassi, G., Rossi, S., Jacome Felix Oom, D., Branco, A., San-Miguel-Ayanz, J. and Vignati, E., CO2 emissions of all world countries - 2022 Report, EUR 31182 EN, Publications Office of the European Union, Luxembourg, 2022, doi:10.2760/730164, JRC130363;  Food and Agriculture Organization of the United Nations (FAO). FAOSTAT Climate Change, Emissions, Emission Totals. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/GT. Accessed on 2022-11-07; IMF staff calculations.",ECNGDR,Annual Net Emissions/Removals,"Environment, Climate Change, Economic Activity, Greenhouse Gas Emissions, National GHG Emissions Inventories and Implied National Mitigation (Nationally Determined Contributions) Targets, Annual Net Emissions/Removals",Chemical Industry,Fluorinated gases,Units,,,,,,,,,,,,,,,,,,,,,46.07305417,41.40230063,46.01742578,41.86396518,39.90117398,41.71174889,39.40735563,38.05650967,49.94296727,38.46900011,36.19802641,24.97171778,26.70197827,15.55217946,21.79884305,20.0403251,17.5177388,21.5039708,17.2313736,6.8132688,8.03475128,8.764421,5.474875292,4.094273,5.029738,4.2640872,2.79656656,5.159957,3.280468,3.7130684,2.101063,2.101063,,,,,,,,,
