Country,ISO2,ISO3,Indicator,Technology,Energy Type,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
United States,US,USA,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",56180.001,50336.998,54875.001,54806.001,56126.0,57980.998,58796.0,59121.001,59647.001,59319.002,61744.0,62320.0,64108.999,66939.0,70818.003,70066.997,69016.998,68857.658,67885.296,63193.028,60269.246,59581.104,
United States,US,USA,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",6804.842,8383.225,8399.725,8409.09,8614.79,8718.555,9005.83,9729.75,9942.45,10142.3,10296.0,10493.45,11216.85,12283.35,12419.55,12969.3,12900.7,12837.9,12616.15,12052.95,11888.9,11334.0,11295.9
United States,US,USA,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",2882270.0,2771591.0,2858235.0,2890533.0,2961136.0,3078075.0,3049191.0,3111787.0,3100548.0,2892882.0,3060149.0,2960191.0,2941052.0,2907720.0,2913787.0,2882404.0,2806893.0,2691535.679,2834295.376,2745142.583,2573324.085,2661776.344,
United States,US,USA,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",626133.0,614996.99,689523.51,731184.45,745246.16,756715.94,761356.54,763609.7,769945.0,773937.3,780259.7,786247.4,781157.6,774326.8,774294.2,758476.0,750282.4,748241.4,747784.6,739124.3,731205.9,731788.4,724448.4
United States,US,USA,Electricity Generation,Geothermal energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",14621.0,14246.0,14939.0,14870.0,15487.0,16778.0,16581.0,16798.0,16873.0,17046.0,17577.0,17840.0,18135.0,18422.0,18710.0,18727.0,18584.0,18726.464,18773.501,18363.517,18830.935,19076.756,
United States,US,USA,Electricity Installed Capacity,Geothermal energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",2793.0,2216.21,2252.25,2133.25,2152.08,2285.3,2273.98,2214.2,2228.8,2381.9,2404.6,2409.2,2592.1,2607.0,2514.3,2541.5,2516.6,2483.3,2444.3,2555.4,2571.9,2596.7,2652.6
United States,US,USA,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",253204.0,188252.0,267034.0,278609.0,271118.0,272445.0,291869.0,249619.0,256714.0,275590.0,262266.0,321733.0,278511.0,270856.0,261473.0,251018.0,269670.0,302362.244,295501.065,289798.538,287139.473,253478.62,
United States,US,USA,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",79359.0,78915.98,79356.2,78694.35,77640.74,77540.92,77821.01,77884.5,77930.2,78517.7,82609.4,82451.9,82561.9,83006.9,83494.2,83495.2,83820.749,83792.318,83882.565,83788.713,83826.747,83805.982,83850.612
United States,US,USA,Electricity Generation,Marine energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",,,,,,,,,,,,,,0.001,0.001,0.001,0.011,0.011,0.011,0.011,0.011,0.011,
United States,US,USA,Electricity Installed Capacity,Marine energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",,,,,,,,,,,,,,0.09,0.09,0.005,0.04,0.04,,,,,
United States,US,USA,Electricity Generation,Nuclear,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",797718.0,792604.0,804519.0,787818.0,813339.0,810726.0,816195.0,836634.0,837804.0,830210.0,838931.0,821405.0,801129.0,822004.0,830584.0,830288.0,839918.0,838861.365,841328.625,843330.055,823149.528,811551.478,
