July 2001 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,80.1,37,-0.6,80.7
AL-003,Baldwin County,Alabama,81,55,-0.2,81.2
AL-005,Barbour County,Alabama,80.5,63,0.1,80.4
AL-007,Bibb County,Alabama,80,54,-0.1,80.1
AL-009,Blount County,Alabama,78.9,68,0.1,78.8
AL-011,Bullock County,Alabama,79.8,49,-0.3,80.1
AL-013,Butler County,Alabama,79.5,30,-0.8,80.3
AL-015,Calhoun County,Alabama,78.4,50,-0.4,78.8
AL-017,Chambers County,Alabama,78.9,79,0.5,78.4
AL-019,Cherokee County,Alabama,78.3,41,-0.6,78.9
AL-021,Chilton County,Alabama,79.2,43,-0.5,79.7
AL-023,Choctaw County,Alabama,80.7,52,-0.1,80.8
AL-025,Clarke County,Alabama,80.8,61,0.1,80.7
AL-027,Clay County,Alabama,77,41,-0.6,77.6
AL-029,Cleburne County,Alabama,76.9,45,-0.6,77.5
AL-031,Coffee County,Alabama,80.1,47,-0.4,80.5
AL-033,Colbert County,Alabama,78.4,41,-0.6,79
AL-035,Conecuh County,Alabama,80,27,-0.9,80.9
AL-037,Coosa County,Alabama,78.7,44,-0.4,79.1
AL-039,Covington County,Alabama,80.1,29,-0.7,80.8
AL-041,Crenshaw County,Alabama,79.3,36,-0.7,80
AL-043,Cullman County,Alabama,78.7,63,0.1,78.6
AL-045,Dale County,Alabama,80.9,69,0.2,80.7
AL-047,Dallas County,Alabama,80.6,51,-0.2,80.8
AL-049,DeKalb County,Alabama,76.5,38,-0.8,77.3
AL-051,Elmore County,Alabama,80,41,-0.3,80.3
AL-053,Escambia County,Alabama,80.3,31,-0.8,81.1
AL-055,Etowah County,Alabama,78.8,53,-0.2,79
AL-057,Fayette County,Alabama,80,54,-0.2,80.2
AL-059,Franklin County,Alabama,78.1,42,-0.6,78.7
AL-061,Geneva County,Alabama,81,71,0.1,80.9
AL-063,Greene County,Alabama,81.1,59,-0.2,81.3
AL-065,Hale County,Alabama,80.7,55,-0.1,80.8
AL-067,Henry County,Alabama,81.5,87,0.7,80.9
AL-069,Houston County,Alabama,82,91,0.7,81.3
AL-071,Jackson County,Alabama,77.1,41,-0.7,77.8
AL-073,Jefferson County,Alabama,79.7,60,0,79.7
AL-075,Lamar County,Alabama,80.4,60,0,80.4
AL-077,Lauderdale County,Alabama,78.1,45,-0.6,78.7
AL-079,Lawrence County,Alabama,78,40,-0.9,78.9
AL-081,Lee County,Alabama,79.8,77,0.6,79.2
AL-083,Limestone County,Alabama,78.4,50,-0.4,78.8
AL-085,Lowndes County,Alabama,80.5,43,-0.4,80.9
AL-087,Macon County,Alabama,80.3,57,0,80.3
AL-089,Madison County,Alabama,78,41,-0.7,78.7
AL-091,Marengo County,Alabama,80.8,57,-0.1,80.9
AL-093,Marion County,Alabama,79,54,-0.3,79.3
AL-095,Marshall County,Alabama,78.1,49,-0.5,78.6
AL-097,Mobile County,Alabama,80.9,60,-0.1,81
AL-099,Monroe County,Alabama,80.4,50,-0.3,80.7
AL-101,Montgomery County,Alabama,80.3,39,-0.5,80.8
AL-103,Morgan County,Alabama,78.4,46,-0.5,78.9
AL-105,Perry County,Alabama,80.4,59,-0,80.4
AL-107,Pickens County,Alabama,81,63,-0,81
AL-109,Pike County,Alabama,79.6,40,-0.6,80.2
AL-111,Randolph County,Alabama,77.6,53,-0.2,77.8
AL-113,Russell County,Alabama,80.7,75,0.4,80.3
AL-115,St. Clair County,Alabama,78.9,60,-0.1,79
