October 2008 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,62.9,31,-1.7,64.6
AL-003,Baldwin County,Alabama,66.1,25,-1.9,68
AL-005,Barbour County,Alabama,63.6,25,-2,65.6
AL-007,Bibb County,Alabama,62.2,39,-1.4,63.6
AL-009,Blount County,Alabama,60.7,49,-0.8,61.5
AL-011,Bullock County,Alabama,63.1,25,-1.9,65
AL-013,Butler County,Alabama,62.6,19,-2.7,65.3
AL-015,Calhoun County,Alabama,60.8,46,-0.8,61.6
AL-017,Chambers County,Alabama,60.5,30,-1.9,62.4
AL-019,Cherokee County,Alabama,60.2,45,-1.2,61.4
AL-021,Chilton County,Alabama,62,38,-1.4,63.4
AL-023,Choctaw County,Alabama,63,25,-1.9,64.9
AL-025,Clarke County,Alabama,63.4,23,-2.1,65.5
AL-027,Clay County,Alabama,60.1,38,-1.3,61.4
AL-029,Cleburne County,Alabama,59.6,44,-1,60.6
AL-031,Coffee County,Alabama,64,22,-2.3,66.3
AL-033,Colbert County,Alabama,59.2,38,-1.5,60.7
AL-035,Conecuh County,Alabama,63.4,21,-2.7,66.1
AL-037,Coosa County,Alabama,61.1,32,-2,63.1
AL-039,Covington County,Alabama,64.1,22,-2.3,66.4
AL-041,Crenshaw County,Alabama,62.6,20,-2.7,65.3
AL-043,Cullman County,Alabama,60.2,45,-1,61.2
AL-045,Dale County,Alabama,64.2,22,-2.3,66.5
AL-047,Dallas County,Alabama,63.2,28,-1.8,65
AL-049,DeKalb County,Alabama,58.9,43,-1.4,60.3
AL-051,Elmore County,Alabama,62.6,28,-2,64.6
AL-053,Escambia County,Alabama,64.3,21,-2.4,66.7
AL-055,Etowah County,Alabama,61.1,50,-0.6,61.7
AL-057,Fayette County,Alabama,61,37,-1.7,62.7
AL-059,Franklin County,Alabama,58.8,31,-2,60.8
AL-061,Geneva County,Alabama,64.8,23,-2.1,66.9
AL-063,Greene County,Alabama,62.4,23,-2.3,64.7
AL-065,Hale County,Alabama,62.6,24,-2,64.6
AL-067,Henry County,Alabama,64.2,22,-2.3,66.5
AL-069,Houston County,Alabama,65.1,22,-2.3,67.4
AL-071,Jackson County,Alabama,59.1,44,-1.4,60.5
AL-073,Jefferson County,Alabama,61.6,45,-0.9,62.5
AL-075,Lamar County,Alabama,61.1,39,-1.7,62.8
AL-077,Lauderdale County,Alabama,59.2,47,-1.1,60.3
AL-079,Lawrence County,Alabama,59.3,36,-1.6,60.9
AL-081,Lee County,Alabama,62.2,30,-1.9,64.1
AL-083,Limestone County,Alabama,60.3,56,-0.5,60.8
AL-085,Lowndes County,Alabama,63.1,25,-2.2,65.3
AL-087,Macon County,Alabama,63.2,30,-1.8,65
AL-089,Madison County,Alabama,60.3,53,-0.6,60.9
AL-091,Marengo County,Alabama,63.3,30,-1.7,65
AL-093,Marion County,Alabama,59.9,36,-1.7,61.6
AL-095,Marshall County,Alabama,60.8,51,-0.6,61.4
AL-097,Mobile County,Alabama,65.9,27,-1.6,67.5
AL-099,Monroe County,Alabama,63.4,22,-2.4,65.8
AL-101,Montgomery County,Alabama,63.1,27,-2.1,65.2
AL-103,Morgan County,Alabama,60.3,47,-0.9,61.2
AL-105,Perry County,Alabama,62.6,28,-1.8,64.4
AL-107,Pickens County,Alabama,61.7,24,-2.2,63.9
AL-109,Pike County,Alabama,63,21,-2.5,65.5
AL-111,Randolph County,Alabama,60,40,-1.2,61.2
AL-113,Russell County,Alabama,63.4,30,-1.8,65.2
AL-115,St. Clair County,Alabama,61.1,50,-0.7,61.8
AL-117,Shelby County,Alabama,61.7,44,-1,62.7
AL-119,Sumter County,Alabama,62.7,32,-1.9,64.6
AL-121,Talladega County,Alabama,61.3,44,-1,62.3
AL-123,Tallapoosa County,Alabama,60.9,25,-2.1,63
AL-125,Tuscaloosa County,Alabama,62.2,35,-1.7,63.9
AL-127,Walker County,Alabama,61.4,46,-1,62.4
AL-129,Washington County,Alabama,63.7,23,-2.2,65.9
AL-131,Wilcox County,Alabama,63.3,25,-2.1,65.4
AL-133,Winston County,Alabama,59.6,38,-1.5,61.1
AZ-001,Apache County,Arizona,51.6,75,0.3,51.3
AZ-003,Cochise County,Arizona,63.4,93,1.5,61.9
AZ-005,Coconino County,Arizona,54.9,96,1.8,53.1
AZ-007,Gila County,Arizona,62.7,103,2.2,60.5
AZ-009,Graham County,Arizona,63.3,87,1.3,62
AZ-011,Greenlee County,Arizona,58.4,82,0.9,57.5
AZ-012,La Paz County,Arizona,74.5,103,2.8,71.7
AZ-013,Maricopa County,Arizona,73.8,106,2.9,70.9
AZ-015,Mohave County,Arizona,65.6,99,2.6,63
AZ-017,Navajo County,Arizona,53.7,87,1.1,52.6
AZ-019,Pima County,Arizona,70.4,95,1.9,68.5
AZ-021,Pinal County,Arizona,71.8,101,2.3,69.5
AZ-023,Santa Cruz County,Arizona,63.3,86,1.3,62
AZ-025,Yavapai County,Arizona,62.7,107,2.8,59.9
AZ-027,Yuma County,Arizona,75.7,106,3,72.7
AR-001,Arkansas County,Arkansas,62.4,46,-0.9,63.3
AR-003,Ashley County,Arkansas,62.5,34,-1.5,64
AR-005,Baxter County,Arkansas,57.8,48,-1,58.8
AR-007,Benton County,Arkansas,57.2,30,-2,59.2
AR-009,Boone County,Arkansas,56.8,30,-2,58.8
AR-011,Bradley County,Arkansas,61.4,23,-2.2,63.6
AR-013,Calhoun County,Arkansas,61,18,-2.6,63.6
AR-015,Carroll County,Arkansas,56.6,26,-2.3,58.9
AR-017,Chicot County,Arkansas,63.3,43,-1,64.3
AR-019,Clark County,Arkansas,60.2,16,-3.1,63.3
AR-021,Clay County,Arkansas,59.2,47,-1,60.2
AR-023,Cleburne County,Arkansas,58.7,35,-1.8,60.5
AR-025,Cleveland County,Arkansas,61.2,27,-2.1,63.3
AR-027,Columbia County,Arkansas,61.6,18,-2.8,64.4
AR-029,Conway County,Arkansas,59.9,32,-1.6,61.5
AR-031,Craighead County,Arkansas,59.9,45,-1,60.9
AR-033,Crawford County,Arkansas,59.3,34,-2,61.3
AR-035,Crittenden County,Arkansas,61.8,47,-0.9,62.7
AR-037,Cross County,Arkansas,61.2,46,-0.9,62.1
AR-039,Dallas County,Arkansas,60.5,18,-2.8,63.3
AR-041,Desha County,Arkansas,62.4,41,-1.3,63.7
AR-043,Drew County,Arkansas,61.8,30,-1.8,63.6
AR-045,Faulkner County,Arkansas,60.4,42,-1.4,61.8
AR-047,Franklin County,Arkansas,59.1,32,-2.1,61.2
AR-049,Fulton County,Arkansas,57.2,43,-1,58.2
AR-051,Garland County,Arkansas,59.8,25,-2.4,62.2
AR-053,Grant County,Arkansas,61.3,34,-1.8,63.1
AR-055,Greene County,Arkansas,59.3,44,-1.1,60.4
AR-057,Hempstead County,Arkansas,61.1,19,-2.7,63.8
AR-059,Hot Spring County,Arkansas,60.7,25,-2.2,62.9
AR-061,Howard County,Arkansas,60.1,19,-2.6,62.7
AR-063,Independence County,Arkansas,58.8,36,-1.5,60.3
AR-065,Izard County,Arkansas,57.7,37,-1.4,59.1
AR-067,Jackson County,Arkansas,60.2,48,-0.8,61
AR-069,Jefferson County,Arkansas,61.7,35,-1.6,63.3
AR-071,Johnson County,Arkansas,58.5,31,-2,60.5
AR-073,Lafayette County,Arkansas,62.3,23,-2.3,64.6
AR-075,Lawrence County,Arkansas,58.8,40,-1.4,60.2
AR-077,Lee County,Arkansas,61.9,47,-0.9,62.8
