August 2009 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,78.8,24,-1.2,80
AL-003,Baldwin County,Alabama,79.7,17,-1.2,80.9
AL-005,Barbour County,Alabama,78.8,25,-1.1,79.9
AL-007,Bibb County,Alabama,78,19,-1.5,79.5
AL-009,Blount County,Alabama,76.9,33,-1,77.9
AL-011,Bullock County,Alabama,78.7,28,-0.9,79.6
AL-013,Butler County,Alabama,77.9,7,-1.9,79.8
AL-015,Calhoun County,Alabama,77.3,40,-0.7,78
AL-017,Chambers County,Alabama,77,38,-0.8,77.8
AL-019,Cherokee County,Alabama,77.4,38,-0.7,78.1
AL-021,Chilton County,Alabama,78,28,-1.1,79.1
AL-023,Choctaw County,Alabama,78.4,10,-2,80.4
AL-025,Clarke County,Alabama,78.5,14,-1.7,80.2
AL-027,Clay County,Alabama,76,35,-0.9,76.9
AL-029,Cleburne County,Alabama,76,41,-0.7,76.7
AL-031,Coffee County,Alabama,78.9,25,-1.1,80
AL-033,Colbert County,Alabama,76.1,14,-2.1,78.2
AL-035,Conecuh County,Alabama,78.2,7,-2.2,80.4
AL-037,Coosa County,Alabama,77.5,30,-1,78.5
AL-039,Covington County,Alabama,78.6,9,-1.7,80.3
AL-041,Crenshaw County,Alabama,77.8,9,-1.7,79.5
AL-043,Cullman County,Alabama,76.7,34,-1.1,77.8
AL-045,Dale County,Alabama,78.9,15,-1.3,80.2
AL-047,Dallas County,Alabama,79,22,-1.2,80.2
AL-049,DeKalb County,Alabama,75.7,41,-0.8,76.5
AL-051,Elmore County,Alabama,78.8,29,-1,79.8
AL-053,Escambia County,Alabama,78.8,9,-1.8,80.6
AL-055,Etowah County,Alabama,77.4,39,-0.7,78.1
AL-057,Fayette County,Alabama,77.6,18,-2,79.6
AL-059,Franklin County,Alabama,76.4,27,-1.5,77.9
AL-061,Geneva County,Alabama,79.9,42,-0.5,80.4
AL-063,Greene County,Alabama,78.6,12,-2.2,80.8
AL-065,Hale County,Alabama,78.7,20,-1.6,80.3
AL-067,Henry County,Alabama,78.8,11,-1.6,80.4
AL-069,Houston County,Alabama,79.6,17,-1.2,80.8
AL-071,Jackson County,Alabama,76.1,41,-0.8,76.9
AL-073,Jefferson County,Alabama,77.6,23,-1.5,79.1
AL-075,Lamar County,Alabama,77.9,24,-1.8,79.7
AL-077,Lauderdale County,Alabama,75.5,9,-2.2,77.7
AL-079,Lawrence County,Alabama,76.3,23,-1.7,78
AL-081,Lee County,Alabama,78,35,-0.8,78.8
AL-083,Limestone County,Alabama,76.8,38,-1,77.8
AL-085,Lowndes County,Alabama,79.1,22,-1.2,80.3
AL-087,Macon County,Alabama,79,33,-0.9,79.9
AL-089,Madison County,Alabama,76.7,39,-1,77.7
AL-091,Marengo County,Alabama,78.6,14,-1.7,80.3
AL-093,Marion County,Alabama,77,28,-1.6,78.6
AL-095,Marshall County,Alabama,76.7,38,-1,77.7
AL-097,Mobile County,Alabama,79.7,18,-1.1,80.8
AL-099,Monroe County,Alabama,78.4,8,-1.8,80.2
AL-101,Montgomery County,Alabama,79.2,28,-1.1,80.3
AL-103,Morgan County,Alabama,76.8,34,-1.1,77.9
AL-105,Perry County,Alabama,78.5,21,-1.4,79.9
AL-107,Pickens County,Alabama,78.4,15,-2,80.4
AL-109,Pike County,Alabama,78.3,19,-1.4,79.7
AL-111,Randolph County,Alabama,76.4,41,-0.6,77
AL-113,Russell County,Alabama,79,33,-0.8,79.8
AL-115,St. Clair County,Alabama,77.3,34,-0.9,78.2
AL-117,Shelby County,Alabama,77.6,26,-1.3,78.9
AL-119,Sumter County,Alabama,78.6,15,-2.1,80.7
AL-121,Talladega County,Alabama,77.4,31,-1,78.4
AL-123,Tallapoosa County,Alabama,77.3,29,-1,78.3
AL-125,Tuscaloosa County,Alabama,78.1,14,-2.2,80.3
AL-127,Walker County,Alabama,77.8,24,-1.4,79.2
AL-129,Washington County,Alabama,78.7,9,-1.9,80.6
AL-131,Wilcox County,Alabama,78.6,14,-1.6,80.2
AL-133,Winston County,Alabama,76.6,33,-1.2,77.8
AZ-001,Apache County,Arizona,69.8,84,0.7,69.1
AZ-003,Cochise County,Arizona,78.7,121,2.9,75.8
AZ-005,Coconino County,Arizona,72.4,92,1.3,71.1
AZ-007,Gila County,Arizona,78.5,115,2.5,76
AZ-009,Graham County,Arizona,79.5,118,2.4,77.1
AZ-011,Greenlee County,Arizona,73.8,105,1.4,72.4
AZ-012,La Paz County,Arizona,91.8,104,1.9,89.9
AZ-013,Maricopa County,Arizona,90.2,114,2.5,87.7
AZ-015,Mohave County,Arizona,82.2,88,1.2,81
AZ-017,Navajo County,Arizona,72.5,100,1.4,71.1
AZ-019,Pima County,Arizona,85.8,118,2.8,83
AZ-021,Pinal County,Arizona,88.1,118,2.8,85.3
AZ-023,Santa Cruz County,Arizona,77.2,119,3,74.2
AZ-025,Yavapai County,Arizona,78,109,1.9,76.1
AZ-027,Yuma County,Arizona,92.4,112,2.6,89.8
AR-001,Arkansas County,Arkansas,78.2,16,-2.5,80.7
AR-003,Ashley County,Arkansas,79.3,29,-1.3,80.6
AR-005,Baxter County,Arkansas,74.3,16,-2.6,76.9
AR-007,Benton County,Arkansas,74,14,-3.3,77.3
AR-009,Boone County,Arkansas,73.4,11,-3.5,76.9
AR-011,Bradley County,Arkansas,78.6,19,-2,80.6
AR-013,Calhoun County,Arkansas,78.5,18,-2.3,80.8
AR-015,Carroll County,Arkansas,73.4,14,-3.4,76.8
AR-017,Chicot County,Arkansas,79.5,27,-1.4,80.9
AR-019,Clark County,Arkansas,77.9,15,-2.8,80.7
AR-021,Clay County,Arkansas,75.6,13,-2.9,78.5
AR-023,Cleburne County,Arkansas,74.6,10,-3.5,78.1
AR-025,Cleveland County,Arkansas,77.8,14,-2.7,80.5
AR-027,Columbia County,Arkansas,78.7,16,-2.4,81.1
AR-029,Conway County,Arkansas,76.7,16,-2.8,79.5
AR-031,Craighead County,Arkansas,76.2,15,-2.7,78.9
AR-033,Crawford County,Arkansas,76.2,17,-2.8,79
AR-035,Crittenden County,Arkansas,78,19,-2.1,80.1
AR-037,Cross County,Arkansas,77.1,11,-2.8,79.9
AR-039,Dallas County,Arkansas,77.8,12,-2.8,80.6
AR-041,Desha County,Arkansas,78.3,15,-2.4,80.7
AR-043,Drew County,Arkansas,78.5,18,-2.1,80.6
AR-045,Faulkner County,Arkansas,76.4,13,-3.3,79.7
AR-047,Franklin County,Arkansas,76.1,18,-2.8,78.9
AR-049,Fulton County,Arkansas,73.5,14,-2.9,76.4
AR-051,Garland County,Arkansas,76.6,15,-3,79.6
AR-053,Grant County,Arkansas,77.7,14,-2.9,80.6
AR-055,Greene County,Arkansas,75.6,12,-3,78.6
AR-057,Hempstead County,Arkansas,78.4,15,-2.6,81
AR-059,Hot Spring County,Arkansas,77.5,15,-2.9,80.4
AR-061,Howard County,Arkansas,77.4,16,-2.5,79.9
AR-063,Independence County,Arkansas,74.9,11,-3.2,78.1
AR-065,Izard County,Arkansas,73.8,12,-3.3,77.1
AR-067,Jackson County,Arkansas,76.2,14,-2.7,78.9
AR-069,Jefferson County,Arkansas,77.7,12,-3,80.7
AR-071,Johnson County,Arkansas,75.4,15,-2.8,78.2
AR-073,Lafayette County,Arkansas,79.1,17,-2.3,81.4
AR-075,Lawrence County,Arkansas,75.2,10,-3.2,78.4
AR-077,Lee County,Arkansas,78,16,-2.1,80.1
AR-079,Lincoln County,Arkansas,78,14,-2.7,80.7
AR-081,Little River County,Arkansas,78.7,17,-2.4,81.1
AR-083,Logan County,Arkansas,76.9,16,-2.9,79.8
AR-085,Lonoke County,Arkansas,77.4,13,-3.1,80.5
AR-087,Madison County,Arkansas,72.9,17,-3,75.9
AR-089,Marion County,Arkansas,74.1,15,-3,77.1
AR-091,Miller County,Arkansas,79.3,16,-2.4,81.7
AR-093,Mississippi County,Arkansas,76.8,14,-2.5,79.3
AR-095,Monroe County,Arkansas,78,15,-2.4,80.4
AR-097,Montgomery County,Arkansas,75.9,14,-3.1,79
AR-099,Nevada County,Arkansas,78.4,14,-2.6,81
AR-101,Newton County,Arkansas,72.8,15,-3.3,76.1
AR-103,Ouachita County,Arkansas,78.7,16,-2.4,81.1
AR-105,Perry County,Arkansas,77.2,16,-2.8,80
AR-107,Phillips County,Arkansas,78.4,20,-1.9,80.3
AR-109,Pike County,Arkansas,77,12,-2.9,79.9
AR-111,Poinsett County,Arkansas,76.8,15,-2.6,79.4
AR-113,Polk County,Arkansas,75.1,13,-2.9,78
AR-115,Pope County,Arkansas,75.9,17,-2.6,78.5
AR-117,Prairie County,Arkansas,77.5,13,-2.9,80.4
AR-119,Pulaski County,Arkansas,77.4,14,-3,80.4
AR-121,Randolph County,Arkansas,74.7,11,-3.2,77.9
AR-123,St. Francis County,Arkansas,77.5,14,-2.6,80.1
AR-125,Saline County,Arkansas,77.3,17,-2.7,80
AR-127,Scott County,Arkansas,75.9,12,-3.1,79
AR-129,Searcy County,Arkansas,73.6,15,-3,76.6
AR-131,Sebastian County,Arkansas,77,14,-3.2,80.2
AR-133,Sevier County,Arkansas,77.8,17,-2.5,80.3
AR-135,Sharp County,Arkansas,73.7,10,-3.4,77.1
AR-137,Stone County,Arkansas,73.8,13,-3.3,77.1
AR-139,Union County,Arkansas,79.1,23,-1.8,80.9
AR-141,Van Buren County,Arkansas,74.3,14,-3.2,77.5
AR-143,Washington County,Arkansas,74,20,-2.9,76.9
AR-145,White County,Arkansas,76.4,13,-3,79.4
