December 2009 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,45.5,38,-1.7,47.2
AL-003,Baldwin County,Alabama,50.8,46,-1.5,52.3
AL-005,Barbour County,Alabama,47.2,41,-1.6,48.8
AL-007,Bibb County,Alabama,44.6,48,-1,45.6
AL-009,Blount County,Alabama,42.1,44,-1,43.1
AL-011,Bullock County,Alabama,46.6,43,-1.3,47.9
AL-013,Butler County,Alabama,46.8,39,-1.8,48.6
AL-015,Calhoun County,Alabama,42.5,44,-1.1,43.6
AL-017,Chambers County,Alabama,43.5,44,-1.1,44.6
AL-019,Cherokee County,Alabama,41.6,42,-1.1,42.7
AL-021,Chilton County,Alabama,45.2,51,-0.6,45.8
AL-023,Choctaw County,Alabama,46,31,-2.4,48.4
AL-025,Clarke County,Alabama,46.9,31,-2.1,49
AL-027,Clay County,Alabama,43,47,-0.9,43.9
AL-029,Cleburne County,Alabama,42.2,52,-0.5,42.7
AL-031,Coffee County,Alabama,47.7,32,-2.1,49.8
AL-033,Colbert County,Alabama,39.9,31,-2,41.9
AL-035,Conecuh County,Alabama,47.7,32,-2.2,49.9
AL-037,Coosa County,Alabama,44.3,43,-1.2,45.5
AL-039,Covington County,Alabama,48.1,36,-1.9,50
AL-041,Crenshaw County,Alabama,46.4,33,-2,48.4
AL-043,Cullman County,Alabama,41.6,40,-1.1,42.7
AL-045,Dale County,Alabama,48,33,-2.2,50.2
AL-047,Dallas County,Alabama,45.9,34,-2,47.9
AL-049,DeKalb County,Alabama,40.4,41,-1.2,41.6
AL-051,Elmore County,Alabama,45.4,37,-1.7,47.1
AL-053,Escambia County,Alabama,49,42,-1.8,50.8
AL-055,Etowah County,Alabama,41.7,34,-1.6,43.3
AL-057,Fayette County,Alabama,42.6,36,-1.8,44.4
AL-059,Franklin County,Alabama,39.6,28,-2.5,42.1
AL-061,Geneva County,Alabama,49.2,44,-1.5,50.7
AL-063,Greene County,Alabama,44.6,30,-2,46.6
AL-065,Hale County,Alabama,45,36,-1.7,46.7
AL-067,Henry County,Alabama,47.9,37,-2.1,50
AL-069,Houston County,Alabama,49.2,39,-1.9,51.1
AL-071,Jackson County,Alabama,40.8,48,-0.7,41.5
AL-073,Jefferson County,Alabama,43.2,44,-1.3,44.5
AL-075,Lamar County,Alabama,42.4,33,-2,44.4
AL-077,Lauderdale County,Alabama,39.8,34,-1.6,41.4
AL-079,Lawrence County,Alabama,40.1,28,-2.2,42.3
AL-081,Lee County,Alabama,44.9,41,-1.6,46.5
AL-083,Limestone County,Alabama,40.7,42,-1.1,41.8
AL-085,Lowndes County,Alabama,46.2,33,-2,48.2
AL-087,Macon County,Alabama,46,42,-1.6,47.6
AL-089,Madison County,Alabama,41,42,-1.1,42.1
AL-091,Marengo County,Alabama,45.6,30,-2.2,47.8
AL-093,Marion County,Alabama,40.7,28,-2.3,43
AL-095,Marshall County,Alabama,41.7,43,-1,42.7
AL-097,Mobile County,Alabama,50.2,43,-1.6,51.8
AL-099,Monroe County,Alabama,47.4,33,-2.1,49.5
AL-101,Montgomery County,Alabama,46.1,36,-1.9,48
AL-103,Morgan County,Alabama,41.1,40,-1.3,42.4
AL-105,Perry County,Alabama,45.1,39,-1.7,46.8
AL-107,Pickens County,Alabama,43.6,32,-2,45.6
AL-109,Pike County,Alabama,46.4,31,-2.3,48.7
AL-111,Randolph County,Alabama,42.7,46,-0.7,43.4
AL-113,Russell County,Alabama,46.2,38,-1.7,47.9
AL-115,St. Clair County,Alabama,42.7,44,-1.2,43.9
AL-117,Shelby County,Alabama,43.9,45,-1.1,45
AL-119,Sumter County,Alabama,44.9,30,-2.3,47.2
AL-121,Talladega County,Alabama,43.7,49,-1.1,44.8
AL-123,Tallapoosa County,Alabama,43.7,40,-1.7,45.4
AL-125,Tuscaloosa County,Alabama,43.9,37,-1.8,45.7
AL-127,Walker County,Alabama,42.8,42,-1.3,44.1
AL-129,Washington County,Alabama,47.8,36,-2,49.8
AL-131,Wilcox County,Alabama,46.3,30,-2.3,48.6
AL-133,Winston County,Alabama,40.6,29,-2.1,42.7
AZ-001,Apache County,Arizona,26.9,19,-4,30.9
AZ-003,Cochise County,Arizona,43.2,44,-0.8,44
AZ-005,Coconino County,Arizona,29.2,19,-3.7,32.9
AZ-007,Gila County,Arizona,39.5,26,-2.2,41.7
AZ-009,Graham County,Arizona,41.2,28,-2,43.2
AZ-011,Greenlee County,Arizona,36.9,29,-2.1,39
AZ-012,La Paz County,Arizona,50.5,42,-1.1,51.6
AZ-013,Maricopa County,Arizona,50.3,41,-1.3,51.6
AZ-015,Mohave County,Arizona,40.2,23,-3,43.2
AZ-017,Navajo County,Arizona,27.2,16,-4.2,31.4
AZ-019,Pima County,Arizona,49.2,40,-1.1,50.3
AZ-021,Pinal County,Arizona,48.7,32,-1.6,50.3
AZ-023,Santa Cruz County,Arizona,44.3,45,-0.9,45.2
AZ-025,Yavapai County,Arizona,39.2,27,-2.6,41.8
AZ-027,Yuma County,Arizona,52.6,46,-0.5,53.1
AR-001,Arkansas County,Arkansas,40.5,20,-2.9,43.4
AR-003,Ashley County,Arkansas,42.6,21,-2.9,45.5
AR-005,Baxter County,Arkansas,34.8,24,-2.6,37.4
AR-007,Benton County,Arkansas,33.7,14,-4.1,37.8
AR-009,Boone County,Arkansas,33.9,15,-3.4,37.3
AR-011,Bradley County,Arkansas,41,18,-3.6,44.6
AR-013,Calhoun County,Arkansas,40.9,15,-3.7,44.6
AR-015,Carroll County,Arkansas,33.8,15,-3.7,37.5
AR-017,Chicot County,Arkansas,43,23,-2.7,45.7
AR-019,Clark County,Arkansas,40.2,18,-3.3,43.5
AR-021,Clay County,Arkansas,35.8,20,-2.7,38.5
AR-023,Cleburne County,Arkansas,36.7,21,-3.1,39.8
AR-025,Cleveland County,Arkansas,40.6,19,-3.4,44
AR-027,Columbia County,Arkansas,41.4,13,-4.2,45.6
AR-029,Conway County,Arkansas,37.5,16,-3.3,40.8
AR-031,Craighead County,Arkansas,36.7,20,-3,39.7
AR-033,Crawford County,Arkansas,36.1,13,-3.7,39.8
AR-035,Crittenden County,Arkansas,39,19,-3.1,42.1
AR-037,Cross County,Arkansas,38.1,20,-3.4,41.5
AR-039,Dallas County,Arkansas,40.6,18,-3.3,43.9
AR-041,Desha County,Arkansas,41.6,23,-2.7,44.3
