May 2012 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,74.3,113,2.9,71.4
AL-003,Baldwin County,Alabama,76.4,119,2.9,73.5
AL-005,Barbour County,Alabama,74.3,104,2,72.3
AL-007,Bibb County,Alabama,73.3,113,2.9,70.4
AL-009,Blount County,Alabama,72.6,122,4.1,68.5
AL-011,Bullock County,Alabama,73.5,99,1.8,71.7
AL-013,Butler County,Alabama,73,86,1.1,71.9
AL-015,Calhoun County,Alabama,71.8,113,3,68.8
AL-017,Chambers County,Alabama,71.5,107,2.3,69.2
AL-019,Cherokee County,Alabama,72.3,120,3.6,68.7
AL-021,Chilton County,Alabama,73.1,112,2.8,70.3
AL-023,Choctaw County,Alabama,74.1,106,2.2,71.9
AL-025,Clarke County,Alabama,74.4,107,2.3,72.1
AL-027,Clay County,Alabama,70.9,109,2.6,68.3
AL-029,Cleburne County,Alabama,70.2,106,2.5,67.7
AL-031,Coffee County,Alabama,74.3,95,1.5,72.8
AL-033,Colbert County,Alabama,72.1,122,4,68.1
AL-035,Conecuh County,Alabama,74.3,102,1.7,72.6
AL-037,Coosa County,Alabama,72.3,110,2.6,69.7
AL-039,Covington County,Alabama,74.3,96,1.5,72.8
AL-041,Crenshaw County,Alabama,72.9,87,1.1,71.8
AL-043,Cullman County,Alabama,72.1,121,3.9,68.2
AL-045,Dale County,Alabama,74.8,98,1.7,73.1
AL-047,Dallas County,Alabama,74.5,112,2.7,71.8
AL-049,DeKalb County,Alabama,71.1,120,3.8,67.3
AL-051,Elmore County,Alabama,73.2,103,2,71.2
AL-053,Escambia County,Alabama,75.2,111,2.2,73
AL-055,Etowah County,Alabama,72.9,122,4.1,68.8
AL-057,Fayette County,Alabama,72.9,114,3.1,69.8
AL-059,Franklin County,Alabama,71.7,122,3.7,68
AL-061,Geneva County,Alabama,75.4,107,2,73.4
AL-063,Greene County,Alabama,74,106,2.4,71.6
AL-065,Hale County,Alabama,73.8,106,2.4,71.4
AL-067,Henry County,Alabama,75,100,1.8,73.2
AL-069,Houston County,Alabama,75.7,102,1.7,74
AL-071,Jackson County,Alabama,71.3,122,3.8,67.5
AL-073,Jefferson County,Alabama,73.1,117,3.5,69.6
AL-075,Lamar County,Alabama,73,114,3.1,69.9
AL-077,Lauderdale County,Alabama,71.5,121,3.8,67.7
AL-079,Lawrence County,Alabama,71.4,117,3.2,68.2
AL-081,Lee County,Alabama,72.8,107,2.3,70.5
AL-083,Limestone County,Alabama,71.9,120,3.9,68
AL-085,Lowndes County,Alabama,74.1,108,2.1,72
AL-087,Macon County,Alabama,73.1,94,1.5,71.6
AL-089,Madison County,Alabama,72.1,122,4.1,68
AL-091,Marengo County,Alabama,74,105,2.2,71.8
AL-093,Marion County,Alabama,71.7,112,3,68.7
AL-095,Marshall County,Alabama,72.5,123,4.2,68.3
AL-097,Mobile County,Alabama,76.3,117,3.1,73.2
AL-099,Monroe County,Alabama,74.5,109,2.2,72.3
AL-101,Montgomery County,Alabama,73.8,102,1.9,71.9
AL-103,Morgan County,Alabama,72,119,3.7,68.3
AL-105,Perry County,Alabama,73.8,110,2.6,71.2
AL-107,Pickens County,Alabama,73.8,113,2.9,70.9
AL-109,Pike County,Alabama,73.6,94,1.5,72.1
AL-111,Randolph County,Alabama,70.7,109,2.5,68.2
AL-113,Russell County,Alabama,74.1,110,2.4,71.7
AL-115,St. Clair County,Alabama,72.5,121,3.6,68.9
AL-117,Shelby County,Alabama,72.6,112,3,69.6
AL-119,Sumter County,Alabama,73.9,104,2.3,71.6
AL-121,Talladega County,Alabama,72.2,111,2.9,69.3
AL-123,Tallapoosa County,Alabama,71.8,104,2.1,69.7
AL-125,Tuscaloosa County,Alabama,73.8,114,3,70.8
AL-127,Walker County,Alabama,72.9,119,3.5,69.4
AL-129,Washington County,Alabama,74.7,106,2.1,72.6
AL-131,Wilcox County,Alabama,74.4,110,2.4,72
AL-133,Winston County,Alabama,71.2,114,3.1,68.1
AZ-001,Apache County,Arizona,59.4,116,3.3,56.1
AZ-003,Cochise County,Arizona,70.2,118,3.9,66.3
AZ-005,Coconino County,Arizona,62.3,120,4.4,57.9
AZ-007,Gila County,Arizona,67.6,117,3.9,63.7
AZ-009,Graham County,Arizona,69.9,117,3.8,66.1
AZ-011,Greenlee County,Arizona,64.6,112,3.2,61.4
AZ-012,La Paz County,Arizona,81.2,123,5.4,75.8
AZ-013,Maricopa County,Arizona,79.2,119,4.7,74.5
AZ-015,Mohave County,Arizona,71.8,119,4.8,67
AZ-017,Navajo County,Arizona,61.5,119,3.8,57.7
AZ-019,Pima County,Arizona,76,119,4.4,71.6
AZ-021,Pinal County,Arizona,77.7,119,4.3,73.4
AZ-023,Santa Cruz County,Arizona,68.8,120,4.1,64.7
AZ-025,Yavapai County,Arizona,67.4,119,4.4,63
AZ-027,Yuma County,Arizona,80.5,121,4.8,75.7
AR-001,Arkansas County,Arkansas,74.8,124,4.2,70.6
AR-003,Ashley County,Arkansas,75.2,124,4.1,71.1
AR-005,Baxter County,Arkansas,70.8,125,5.3,65.5
AR-007,Benton County,Arkansas,70.2,124,4.7,65.5
AR-009,Boone County,Arkansas,70,124,5.1,64.9
AR-011,Bradley County,Arkansas,74.4,123,3.7,70.7
AR-013,Calhoun County,Arkansas,74.1,122,3.5,70.6
AR-015,Carroll County,Arkansas,69.5,123,4.5,65
AR-017,Chicot County,Arkansas,76.1,125,4.3,71.8
AR-019,Clark County,Arkansas,73.8,126,3.8,70
AR-021,Clay County,Arkansas,73.5,125,5.5,68
AR-023,Cleburne County,Arkansas,72.1,125,5.2,66.9
AR-025,Cleveland County,Arkansas,74.2,122,3.8,70.4
AR-027,Columbia County,Arkansas,74.1,121,3.1,71
AR-029,Conway County,Arkansas,73.4,126,4.9,68.5
