January 2013 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,51.1,116,4.8,46.3
AL-003,Baldwin County,Alabama,55.9,112,4.9,51
AL-005,Barbour County,Alabama,54.4,123,6.6,47.8
AL-007,Bibb County,Alabama,48.9,112,4.6,44.3
AL-009,Blount County,Alabama,46,107,4.4,41.6
AL-011,Bullock County,Alabama,53.2,121,6.4,46.8
AL-013,Butler County,Alabama,53,116,5.5,47.5
AL-015,Calhoun County,Alabama,47.9,114,5.6,42.3
AL-017,Chambers County,Alabama,50.6,122,6.9,43.7
AL-019,Cherokee County,Alabama,46.5,112,5.1,41.4
AL-021,Chilton County,Alabama,49.4,115,4.7,44.7
AL-023,Choctaw County,Alabama,51.3,109,4.2,47.1
AL-025,Clarke County,Alabama,52.7,112,4.8,47.9
AL-027,Clay County,Alabama,48.4,117,5.6,42.8
AL-029,Cleburne County,Alabama,47.7,119,6.2,41.5
AL-031,Coffee County,Alabama,54.7,119,6,48.7
AL-033,Colbert County,Alabama,44.4,106,4.5,39.9
AL-035,Conecuh County,Alabama,54.3,113,5.6,48.7
AL-037,Coosa County,Alabama,49.3,114,4.8,44.5
AL-039,Covington County,Alabama,54.7,115,5.8,48.9
AL-041,Crenshaw County,Alabama,52.8,115,5.4,47.4
AL-043,Cullman County,Alabama,45,103,3.9,41.1
AL-045,Dale County,Alabama,55.4,123,6.3,49.1
AL-047,Dallas County,Alabama,51.5,116,4.7,46.8
AL-049,DeKalb County,Alabama,44.8,109,4.8,40
AL-051,Elmore County,Alabama,51,114,4.9,46.1
AL-053,Escambia County,Alabama,55.4,116,5.7,49.7
AL-055,Etowah County,Alabama,46.5,111,4.6,41.9
AL-057,Fayette County,Alabama,47,104,4.2,42.8
AL-059,Franklin County,Alabama,44.3,105,4.1,40.2
AL-061,Geneva County,Alabama,56.1,123,6.4,49.7
AL-063,Greene County,Alabama,49.3,108,4.1,45.2
AL-065,Hale County,Alabama,49.5,110,4.2,45.3
AL-067,Henry County,Alabama,55.9,125,6.8,49.1
AL-069,Houston County,Alabama,57,125,6.8,50.2
AL-071,Jackson County,Alabama,44.4,108,4.5,39.9
AL-073,Jefferson County,Alabama,47.6,108,4.5,43.1
AL-075,Lamar County,Alabama,46.9,104,4.1,42.8
AL-077,Lauderdale County,Alabama,43.9,105,4.5,39.4
AL-079,Lawrence County,Alabama,44,100,3.6,40.4
AL-081,Lee County,Alabama,52.3,122,6.7,45.6
AL-083,Limestone County,Alabama,43.6,101,3.7,39.9
AL-085,Lowndes County,Alabama,52.5,116,5.3,47.2
AL-087,Macon County,Alabama,52.3,118,5.8,46.5
AL-089,Madison County,Alabama,44,103,3.8,40.2
AL-091,Marengo County,Alabama,50.7,109,4.1,46.6
AL-093,Marion County,Alabama,45.4,104,4.1,41.3
AL-095,Marshall County,Alabama,45.5,107,4.5,41
AL-097,Mobile County,Alabama,54.9,110,4.4,50.5
AL-099,Monroe County,Alabama,53.8,113,5.4,48.4
AL-101,Montgomery County,Alabama,52.4,115,5.3,47.1
AL-103,Morgan County,Alabama,44.4,101,3.8,40.6
AL-105,Perry County,Alabama,50.1,113,4.5,45.6
AL-107,Pickens County,Alabama,48.3,105,4.2,44.1
AL-109,Pike County,Alabama,53.4,117,5.7,47.7
AL-111,Randolph County,Alabama,48.9,120,6.6,42.3
AL-113,Russell County,Alabama,53.9,123,6.9,47
AL-115,St. Clair County,Alabama,47.3,111,4.8,42.5
AL-117,Shelby County,Alabama,48.2,110,4.5,43.7
AL-119,Sumter County,Alabama,49.6,101,3.8,45.8
AL-121,Talladega County,Alabama,48.7,115,5.1,43.6
AL-123,Tallapoosa County,Alabama,49.8,117,5.4,44.4
AL-125,Tuscaloosa County,Alabama,48.3,105,4.1,44.2
AL-127,Walker County,Alabama,46.6,102,4,42.6
AL-129,Washington County,Alabama,52.8,107,4.2,48.6
AL-131,Wilcox County,Alabama,52.6,113,5.1,47.5
AL-133,Winston County,Alabama,44.5,100,3.6,40.9
AZ-001,Apache County,Arizona,25.5,16,-4.2,29.7
AZ-003,Cochise County,Arizona,41.1,27,-2.4,43.5
AZ-005,Coconino County,Arizona,29.6,27,-2.3,31.9
AZ-007,Gila County,Arizona,39.8,35,-1.1,40.9
AZ-009,Graham County,Arizona,40.6,26,-2,42.6
AZ-011,Greenlee County,Arizona,36.4,25,-2,38.4
AZ-012,La Paz County,Arizona,50.2,33,-1,51.2
AZ-013,Maricopa County,Arizona,50,35,-0.8,50.8
AZ-015,Mohave County,Arizona,40.8,28,-1.5,42.3
AZ-017,Navajo County,Arizona,26.7,19,-3.7,30.4
AZ-019,Pima County,Arizona,48,29,-1.6,49.6
AZ-021,Pinal County,Arizona,48.2,34,-1.3,49.5
AZ-023,Santa Cruz County,Arizona,42.1,27,-2.2,44.3
AZ-025,Yavapai County,Arizona,39.5,33,-1.4,40.9
AZ-027,Yuma County,Arizona,52,36,-0.8,52.8
AR-001,Arkansas County,Arkansas,44,94,2.8,41.2
AR-003,Ashley County,Arkansas,46.6,99,3,43.6
AR-005,Baxter County,Arkansas,38,99,3.1,34.9
AR-007,Benton County,Arkansas,38.5,100,3.5,35
AR-009,Boone County,Arkansas,37.6,96,2.9,34.7
AR-011,Bradley County,Arkansas,45.9,101,3.1,42.8
AR-013,Calhoun County,Arkansas,44.8,92,2,42.8
AR-015,Carroll County,Arkansas,38.1,94,3.2,34.9
AR-017,Chicot County,Arkansas,46.9,98,3.1,43.8
AR-019,Clark County,Arkansas,44,95,2.4,41.6
AR-021,Clay County,Arkansas,39.1,97,3.2,35.9
AR-023,Cleburne County,Arkansas,40,94,2.5,37.5
AR-025,Cleveland County,Arkansas,44.5,98,2.5,42
AR-027,Columbia County,Arkansas,46,89,2.2,43.8
AR-029,Conway County,Arkansas,41.2,97,2.6,38.6
AR-031,Craighead County,Arkansas,40.7,100,3.7,37
AR-033,Crawford County,Arkansas,41.1,107,3.6,37.5
AR-035,Crittenden County,Arkansas,43.2,103,3.8,39.4
AR-037,Cross County,Arkansas,42.3,103,3.5,38.8
AR-039,Dallas County,Arkansas,44,93,2,42
AR-041,Desha County,Arkansas,45.2,97,2.9,42.3
AR-043,Drew County,Arkansas,46.1,100,3.4,42.7
AR-045,Faulkner County,Arkansas,41.8,96,2.6,39.2
AR-047,Franklin County,Arkansas,40.8,101,3.3,37.5
AR-049,Fulton County,Arkansas,37.4,99,3.2,34.2
AR-051,Garland County,Arkansas,42.5,95,2.4,40.1
AR-053,Grant County,Arkansas,43.8,93,2.2,41.6
AR-055,Greene County,Arkansas,39.6,99,3.3,36.3
AR-057,Hempstead County,Arkansas,44.9,97,2.6,42.3
AR-059,Hot Spring County,Arkansas,43.4,93,2.2,41.2
AR-061,Howard County,Arkansas,43.6,99,2.6,41
AR-063,Independence County,Arkansas,39.4,92,2.6,36.8
AR-065,Izard County,Arkansas,38.3,94,2.9,35.4
AR-067,Jackson County,Arkansas,41,102,3.6,37.4
AR-069,Jefferson County,Arkansas,43.9,95,2.4,41.5
AR-071,Johnson County,Arkansas,40.2,103,3.3,36.9
AR-073,Lafayette County,Arkansas,46.4,95,2.7,43.7
AR-075,Lawrence County,Arkansas,39.4,97,3.2,36.2
AR-077,Lee County,Arkansas,43.3,99,3.1,40.2
AR-079,Lincoln County,Arkansas,45.1,99,3.1,42
AR-081,Little River County,Arkansas,45.4,99,2.9,42.5
AR-083,Logan County,Arkansas,41.4,100,2.9,38.5
AR-085,Lonoke County,Arkansas,42.3,92,1.8,40.5
AR-087,Madison County,Arkansas,38.3,99,3.3,35
AR-089,Marion County,Arkansas,37.6,95,2.8,34.8
AR-091,Miller County,Arkansas,46.6,100,2.8,43.8
AR-093,Mississippi County,Arkansas,41.2,99,3.3,37.9
AR-095,Monroe County,Arkansas,43,92,2.6,40.4
AR-097,Montgomery County,Arkansas,42.1,96,2.5,39.6
AR-099,Nevada County,Arkansas,44.8,94,2.3,42.5
AR-101,Newton County,Arkansas,38,98,3.2,34.8
AR-103,Ouachita County,Arkansas,44.6,85,1.5,43.1
AR-105,Perry County,Arkansas,42.3,98,2.8,39.5
AR-107,Phillips County,Arkansas,43.8,97,3,40.8
AR-109,Pike County,Arkansas,43.4,98,2.6,40.8
AR-111,Poinsett County,Arkansas,41.7,103,3.9,37.8
AR-113,Polk County,Arkansas,41.6,100,2.7,38.9
AR-115,Pope County,Arkansas,40.5,102,3.1,37.4
AR-117,Prairie County,Arkansas,42.3,88,2,40.3
AR-119,Pulaski County,Arkansas,42.8,94,2.4,40.4
AR-121,Randolph County,Arkansas,38.5,96,3.1,35.4
AR-123,St. Francis County,Arkansas,42.7,98,3.1,39.6
AR-125,Saline County,Arkansas,42.8,95,2.3,40.5
AR-127,Scott County,Arkansas,41.4,98,2.7,38.7
AR-129,Searcy County,Arkansas,38,93,2.7,35.3
AR-131,Sebastian County,Arkansas,42,101,3.3,38.7
AR-133,Sevier County,Arkansas,44.2,101,2.9,41.3
AR-135,Sharp County,Arkansas,38.3,98,3.2,35.1
AR-137,Stone County,Arkansas,38.6,93,2.6,36
AR-139,Union County,Arkansas,46.2,96,2.5,43.7
AR-141,Van Buren County,Arkansas,39.3,94,2.5,36.8
AR-143,Washington County,Arkansas,38.9,101,3.3,35.6
AR-145,White County,Arkansas,41.1,91,2.3,38.8
AR-147,Woodruff County,Arkansas,42,97,3,39
AR-149,Yell County,Arkansas,42.1,101,2.9,39.2
CA-001,Alameda County,California,45.8,41,-0.6,46.4
CA-003,Alpine County,California,29,46,-0.4,29.4
CA-005,Amador County,California,42.9,51,-0.2,43.1
CA-007,Butte County,California,43.9,62,0.7,43.2
CA-009,Calaveras County,California,42.9,48,-0.4,43.3
CA-011,Colusa County,California,45.5,78,1.1,44.4
CA-013,Contra Costa County,California,45.9,52,-0,45.9
CA-015,Del Norte County,California,40.7,80,1.4,39.3
CA-017,El Dorado County,California,39.4,48,-0.2,39.6
CA-019,Fresno County,California,39.4,57,0.2,39.2
CA-021,Glenn County,California,44.6,78,1.2,43.4
CA-023,Humboldt County,California,41.2,47,-0.6,41.8
CA-025,Imperial County,California,54.2,49,0,54.2
CA-027,Inyo County,California,41,47,-0.2,41.2
CA-029,Kern County,California,44,50,-0.3,44.3
CA-031,Kings County,California,45.1,51,-0.2,45.3
CA-033,Lake County,California,43.8,74,0.9,42.9
CA-035,Lassen County,California,25.4,21,-3.7,29.1
CA-037,Los Angeles County,California,48.3,59,0.5,47.8
CA-039,Madera County,California,39.7,50,-0.1,39.8
CA-041,Marin County,California,47.4,55,0.3,47.1
CA-043,Mariposa County,California,39.8,52,-0,39.8
CA-045,Mendocino County,California,43.4,43,-0.5,43.9
CA-047,Merced County,California,45.3,52,-0,45.3
CA-049,Modoc County,California,26.9,35,-1.8,28.7
CA-051,Mono County,California,26.6,49,-0.6,27.2
CA-053,Monterey County,California,47.2,59,0.3,46.9
CA-055,Napa County,California,45.4,57,0.3,45.1
CA-057,Nevada County,California,37.4,48,-0.2,37.6
CA-059,Orange County,California,54.7,70,0.7,54
CA-061,Placer County,California,38.8,53,0.1,38.7
CA-063,Plumas County,California,28.4,19,-3,31.4
CA-065,Riverside County,California,50.6,52,0.2,50.4
CA-067,Sacramento County,California,45.2,44,-0.6,45.8
CA-069,San Benito County,California,45.3,61,0.4,44.9
CA-071,San Bernardino County,California,45.8,41,-0.8,46.6
CA-073,San Diego County,California,49.8,56,0.3,49.5
CA-075,San Francisco County,California,48.2,50,-0,48.2
CA-077,San Joaquin County,California,45,42,-0.5,45.5
CA-079,San Luis Obispo County,California,47.3,56,0.4,46.9
CA-081,San Mateo County,California,48.3,61,0.3,48
CA-083,Santa Barbara County,California,48.4,64,0.4,48
CA-085,Santa Clara County,California,46.1,62,0.4,45.7
CA-087,Santa Cruz County,California,48.4,69,0.8,47.6
CA-089,Shasta County,California,38.8,49,-0,38.8
CA-091,Sierra County,California,30.5,31,-1.2,31.7
CA-093,Siskiyou County,California,33.2,58,0.3,32.9
CA-095,Solano County,California,45.4,44,-0.4,45.8
CA-097,Sonoma County,California,46.4,54,0,46.4
CA-099,Stanislaus County,California,44.8,47,-0.3,45.1
CA-101,Sutter County,California,45.4,48,-0.2,45.6
CA-103,Tehama County,California,43.8,84,1.4,42.4
CA-105,Trinity County,California,37.5,58,0.2,37.3
CA-107,Tulare County,California,38.1,54,-0,38.1
CA-109,Tuolumne County,California,35.8,54,0.1,35.7
CA-111,Ventura County,California,47.2,78,1.2,46
CA-113,Yolo County,California,45.1,42,-0.5,45.6
CA-115,Yuba County,California,44.6,56,0.1,44.5
CO-001,Adams County,Colorado,27.8,61,1.2,26.6
CO-003,Alamosa County,Colorado,11.2,11,-7.2,18.4
CO-005,Arapahoe County,Colorado,28.1,64,1,27.1
CO-007,Archuleta County,Colorado,21.6,57,-0.2,21.8
CO-009,Baca County,Colorado,32.5,63,1.2,31.3
CO-011,Bent County,Colorado,31.6,77,2.2,29.4
CO-013,Boulder County,Colorado,26.3,63,0.9,25.4
CO-014,Broomfield County,Colorado,30.4,57,0.8,29.6
CO-015,Chaffee County,Colorado,16.6,31,-2.4,19
CO-017,Cheyenne County,Colorado,29.1,70,1.6,27.5
CO-019,Clear Creek County,Colorado,19.5,60,0.2,19.3
CO-021,Conejos County,Colorado,14.5,20,-4,18.5
CO-023,Costilla County,Colorado,19.3,43,-1.6,20.9
CO-025,Crowley County,Colorado,29.9,73,1.7,28.2
CO-027,Custer County,Colorado,20.7,37,-2.1,22.8
CO-029,Delta County,Colorado,21.2,38,-1.7,22.9
CO-031,Denver County,Colorado,30.2,62,0.9,29.3
CO-033,Dolores County,Colorado,21.5,34,-1.6,23.1
CO-035,Douglas County,Colorado,28.8,68,0.7,28.1
CO-037,Eagle County,Colorado,16.8,38,-1.9,18.7
CO-039,Elbert County,Colorado,26.9,62,0.6,26.3
CO-041,El Paso County,Colorado,28.4,65,0.5,27.9
CO-043,Fremont County,Colorado,24.4,31,-2,26.4
CO-045,Garfield County,Colorado,18.8,28,-2.9,21.7
CO-047,Gilpin County,Colorado,22.4,71,0.9,21.5
CO-049,Grand County,Colorado,14,30,-2.4,16.4
CO-051,Gunnison County,Colorado,13.1,22,-3.4,16.5
CO-053,Hinsdale County,Colorado,16,46,-0.9,16.9
CO-055,Huerfano County,Colorado,27.2,44,-0.7,27.9
CO-057,Jackson County,Colorado,14.7,35,-1.5,16.2
CO-059,Jefferson County,Colorado,27.8,51,-0.2,28
CO-061,Kiowa County,Colorado,30.2,73,2.1,28.1
CO-063,Kit Carson County,Colorado,29.6,69,2.3,27.3
CO-065,Lake County,Colorado,14.6,39,-1.1,15.7
CO-067,La Plata County,Colorado,21,29,-2.6,23.6
CO-069,Larimer County,Colorado,24.1,76,1.6,22.5
CO-071,Las Animas County,Colorado,31.2,67,0.3,30.9
CO-073,Lincoln County,Colorado,27.9,60,0.9,27
CO-075,Logan County,Colorado,28,71,2.1,25.9
CO-077,Mesa County,Colorado,20.6,30,-2.6,23.2
CO-079,Mineral County,Colorado,16.6,56,-0,16.6
CO-081,Moffat County,Colorado,14,12,-5.8,19.8
CO-083,Montezuma County,Colorado,23,23,-3.3,26.3
CO-085,Montrose County,Colorado,20.6,22,-3.3,23.9
CO-087,Morgan County,Colorado,27.9,87,3.6,24.3
CO-089,Otero County,Colorado,31.8,71,1.5,30.3
CO-091,Ouray County,Colorado,18.2,22,-2.6,20.8
CO-093,Park County,Colorado,16.6,25,-2.9,19.5
CO-095,Phillips County,Colorado,27.8,69,2.4,25.4
CO-097,Pitkin County,Colorado,17.6,52,-0.6,18.2
