November 2013 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,52.7,42,-1.6,54.3
AL-003,Baldwin County,Alabama,57.2,49,-1.1,58.3
AL-005,Barbour County,Alabama,55,58,-0.8,55.8
AL-007,Bibb County,Alabama,50.6,35,-2.2,52.8
AL-009,Blount County,Alabama,48.9,37,-1.7,50.6
AL-011,Bullock County,Alabama,53.9,51,-1.2,55.1
AL-013,Butler County,Alabama,54.2,55,-1.1,55.3
AL-015,Calhoun County,Alabama,49.5,42,-1.5,51
AL-017,Chambers County,Alabama,50.7,46,-1.4,52.1
AL-019,Cherokee County,Alabama,48.6,36,-1.9,50.5
AL-021,Chilton County,Alabama,50.9,39,-2.1,53
AL-023,Choctaw County,Alabama,52.5,32,-2.3,54.8
AL-025,Clarke County,Alabama,54.3,51,-1.1,55.4
AL-027,Clay County,Alabama,49.5,40,-1.7,51.2
AL-029,Cleburne County,Alabama,48.8,44,-1.4,50.2
AL-031,Coffee County,Alabama,55.7,61,-0.8,56.5
AL-033,Colbert County,Alabama,46.6,18,-3,49.6
AL-035,Conecuh County,Alabama,54.7,49,-1.5,56.2
AL-037,Coosa County,Alabama,50.7,36,-2.1,52.8
AL-039,Covington County,Alabama,55.4,54,-1.1,56.5
AL-041,Crenshaw County,Alabama,54.1,54,-1.2,55.3
AL-043,Cullman County,Alabama,48.3,37,-2.1,50.4
AL-045,Dale County,Alabama,55.8,54,-1,56.8
AL-047,Dallas County,Alabama,53.7,51,-1,54.7
AL-049,DeKalb County,Alabama,47.3,30,-2.2,49.5
AL-051,Elmore County,Alabama,52.1,34,-2.3,54.4
AL-053,Escambia County,Alabama,55.6,51,-1.2,56.8
AL-055,Etowah County,Alabama,49.2,40,-1.6,50.8
AL-057,Fayette County,Alabama,49.3,31,-2.4,51.7
AL-059,Franklin County,Alabama,46.2,15,-3.6,49.8
AL-061,Geneva County,Alabama,56.5,58,-0.7,57.2
AL-063,Greene County,Alabama,51,25,-2.8,53.8
AL-065,Hale County,Alabama,51.2,28,-2.7,53.9
AL-067,Henry County,Alabama,55.8,54,-1,56.8
AL-069,Houston County,Alabama,56.7,56,-0.9,57.6
AL-071,Jackson County,Alabama,47.2,28,-2.3,49.5
AL-073,Jefferson County,Alabama,49.6,37,-2.1,51.7
AL-075,Lamar County,Alabama,48.8,24,-3,51.8
AL-077,Lauderdale County,Alabama,46.2,17,-2.9,49.1
AL-079,Lawrence County,Alabama,46.3,13,-3.5,49.8
AL-081,Lee County,Alabama,52.5,46,-1.4,53.9
AL-083,Limestone County,Alabama,46.6,20,-3,49.6
AL-085,Lowndes County,Alabama,54.1,55,-1,55.1
AL-087,Macon County,Alabama,53,37,-1.9,54.9
AL-089,Madison County,Alabama,47.2,26,-2.6,49.8
AL-091,Marengo County,Alabama,52.3,31,-2.3,54.6
AL-093,Marion County,Alabama,47.2,19,-3.4,50.6
AL-095,Marshall County,Alabama,48.7,38,-1.8,50.5
AL-097,Mobile County,Alabama,56.6,49,-1.2,57.8
AL-099,Monroe County,Alabama,54.7,52,-1.1,55.8
AL-101,Montgomery County,Alabama,53.4,46,-1.7,55.1
AL-103,Morgan County,Alabama,47.4,25,-2.7,50.1
AL-105,Perry County,Alabama,51.8,36,-2.1,53.9
AL-107,Pickens County,Alabama,50.4,28,-2.5,52.9
AL-109,Pike County,Alabama,54.5,53,-1.1,55.6
AL-111,Randolph County,Alabama,49.5,45,-1.3,50.8
AL-113,Russell County,Alabama,53.9,51,-1.1,55
AL-115,St. Clair County,Alabama,49.4,42,-1.7,51.1
AL-117,Shelby County,Alabama,50,34,-2.1,52.1
AL-119,Sumter County,Alabama,50.8,20,-3.3,54.1
AL-121,Talladega County,Alabama,50,37,-1.8,51.8
AL-123,Tallapoosa County,Alabama,50.8,39,-2,52.8
AL-125,Tuscaloosa County,Alabama,50.6,33,-2.3,52.9
AL-127,Walker County,Alabama,49.5,38,-1.9,51.4
AL-129,Washington County,Alabama,54.1,36,-1.9,56
AL-131,Wilcox County,Alabama,54.2,52,-1,55.2
AL-133,Winston County,Alabama,47.3,22,-2.9,50.2
AZ-001,Apache County,Arizona,40.4,79,1.2,39.2
AZ-003,Cochise County,Arizona,53,99,2.3,50.7
AZ-005,Coconino County,Arizona,42.6,83,1.5,41.1
AZ-007,Gila County,Arizona,51.4,98,2.4,49
AZ-009,Graham County,Arizona,52.5,99,2.3,50.2
AZ-011,Greenlee County,Arizona,47.4,84,1.4,46
AZ-012,La Paz County,Arizona,61.6,95,2.1,59.5
AZ-013,Maricopa County,Arizona,62.1,104,3.1,59
AZ-015,Mohave County,Arizona,52.8,84,1.8,51
AZ-017,Navajo County,Arizona,41.9,89,1.8,40.1
AZ-019,Pima County,Arizona,60.2,103,3,57.2
AZ-021,Pinal County,Arizona,60.7,104,3.1,57.6
AZ-023,Santa Cruz County,Arizona,54.4,102,2.8,51.6
AZ-025,Yavapai County,Arizona,50.8,86,1.8,49
AZ-027,Yuma County,Arizona,63.4,100,2.7,60.7
AR-001,Arkansas County,Arkansas,49.2,23,-2.5,51.7
AR-003,Ashley County,Arkansas,50,19,-3,53
AR-005,Baxter County,Arkansas,45,41,-1.5,46.5
AR-007,Benton County,Arkansas,45.4,41,-1.5,46.9
AR-009,Boone County,Arkansas,44.3,32,-2,46.3
AR-011,Bradley County,Arkansas,49.5,22,-2.7,52.2
AR-013,Calhoun County,Arkansas,49.1,18,-3.1,52.2
AR-015,Carroll County,Arkansas,44.4,33,-2.2,46.6
AR-017,Chicot County,Arkansas,50.2,19,-3.2,53.4
AR-019,Clark County,Arkansas,48.6,22,-2.9,51.5
AR-021,Clay County,Arkansas,45.3,27,-2.3,47.6
AR-023,Cleburne County,Arkansas,46.4,28,-2,48.4
AR-025,Cleveland County,Arkansas,48.8,20,-2.9,51.7
AR-027,Columbia County,Arkansas,49.8,18,-3.3,53.1
AR-029,Conway County,Arkansas,48,38,-1.4,49.4
AR-031,Craighead County,Arkansas,46.5,32,-2,48.5
AR-033,Crawford County,Arkansas,46.9,36,-1.9,48.8
AR-035,Crittenden County,Arkansas,47.7,22,-2.9,50.6
AR-037,Cross County,Arkansas,47.5,26,-2.4,49.9
AR-039,Dallas County,Arkansas,48.3,18,-3.3,51.6
AR-041,Desha County,Arkansas,49,16,-3.4,52.4
AR-043,Drew County,Arkansas,49.2,17,-3.2,52.4
AR-045,Faulkner County,Arkansas,48.5,40,-1.3,49.8
AR-047,Franklin County,Arkansas,46.5,28,-2.3,48.8
AR-049,Fulton County,Arkansas,44.5,43,-1.4,45.9
AR-051,Garland County,Arkansas,48.1,29,-2.1,50.2
AR-053,Grant County,Arkansas,48.5,20,-2.9,51.4
AR-055,Greene County,Arkansas,45.8,29,-2.1,47.9
AR-057,Hempstead County,Arkansas,49.2,21,-3,52.2
AR-059,Hot Spring County,Arkansas,48.5,25,-2.6,51.1
AR-061,Howard County,Arkansas,48.1,23,-2.8,50.9
AR-063,Independence County,Arkansas,46,30,-2,48
AR-065,Izard County,Arkansas,44.8,33,-2,46.8
AR-067,Jackson County,Arkansas,47,34,-1.7,48.7
AR-069,Jefferson County,Arkansas,48.8,21,-2.7,51.5
AR-071,Johnson County,Arkansas,46,32,-2.2,48.2
AR-073,Lafayette County,Arkansas,50.5,25,-2.7,53.2
AR-075,Lawrence County,Arkansas,45.6,30,-2.1,47.7
AR-077,Lee County,Arkansas,48.6,25,-2.4,51
AR-079,Lincoln County,Arkansas,48.8,19,-3.1,51.9
AR-081,Little River County,Arkansas,50,27,-2.4,52.4
AR-083,Logan County,Arkansas,47.3,31,-2.2,49.5
AR-085,Lonoke County,Arkansas,48.6,25,-2.3,50.9
AR-087,Madison County,Arkansas,44,33,-2.3,46.3
AR-089,Marion County,Arkansas,44.7,36,-1.8,46.5
AR-091,Miller County,Arkansas,50.9,26,-2.5,53.4
AR-093,Mississippi County,Arkansas,46.4,20,-2.9,49.3
AR-095,Monroe County,Arkansas,48.6,25,-2.4,51
AR-097,Montgomery County,Arkansas,47.5,32,-2,49.5
AR-099,Nevada County,Arkansas,49.3,22,-3,52.3
AR-101,Newton County,Arkansas,44.2,35,-1.9,46.1
AR-103,Ouachita County,Arkansas,48.9,14,-3.7,52.6
AR-105,Perry County,Arkansas,48.3,33,-1.7,50
AR-107,Phillips County,Arkansas,48.8,21,-2.7,51.5
AR-109,Pike County,Arkansas,48,26,-2.7,50.7
AR-111,Poinsett County,Arkansas,47,28,-2.2,49.2
AR-113,Polk County,Arkansas,46.7,29,-2.2,48.9
AR-115,Pope County,Arkansas,46.7,36,-1.7,48.4
AR-117,Prairie County,Arkansas,48.2,20,-2.6,50.8
AR-119,Pulaski County,Arkansas,48.5,28,-2.2,50.7
AR-121,Randolph County,Arkansas,44.8,29,-2.3,47.1
AR-123,St. Francis County,Arkansas,48,25,-2.6,50.6
AR-125,Saline County,Arkansas,48.2,27,-2.4,50.6
AR-127,Scott County,Arkansas,47.4,37,-1.7,49.1
AR-129,Searcy County,Arkansas,44.9,42,-1.6,46.5
AR-131,Sebastian County,Arkansas,48.1,38,-1.6,49.7
AR-133,Sevier County,Arkansas,48.7,25,-2.6,51.3
AR-135,Sharp County,Arkansas,44.3,28,-2.3,46.6
AR-137,Stone County,Arkansas,45.2,35,-2,47.2
AR-139,Union County,Arkansas,49.6,15,-3.4,53
AR-141,Van Buren County,Arkansas,46,37,-1.6,47.6
AR-143,Washington County,Arkansas,44.8,36,-2.2,47
AR-145,White County,Arkansas,47.8,29,-1.9,49.7
AR-147,Woodruff County,Arkansas,47.7,28,-2.2,49.9
AR-149,Yell County,Arkansas,47.9,33,-1.9,49.8
