June 2015 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,79.7,99,1.4,78.3
AL-003,Baldwin County,Alabama,80.4,93,1,79.4
AL-005,Barbour County,Alabama,79.6,93,1,78.6
AL-007,Bibb County,Alabama,78.5,86,0.9,77.6
AL-009,Blount County,Alabama,78.3,112,2.5,75.8
AL-011,Bullock County,Alabama,79.5,101,1.4,78.1
AL-013,Butler County,Alabama,79.1,88,0.8,78.3
AL-015,Calhoun County,Alabama,78.3,110,2.3,76
AL-017,Chambers County,Alabama,78,106,1.9,76.1
AL-019,Cherokee County,Alabama,78.6,115,2.6,76
AL-021,Chilton County,Alabama,78.4,94,1,77.4
AL-023,Choctaw County,Alabama,79.5,94,0.9,78.6
AL-025,Clarke County,Alabama,79.3,83,0.6,78.7
AL-027,Clay County,Alabama,76.8,104,1.7,75.1
AL-029,Cleburne County,Alabama,76.9,108,2.2,74.7
AL-031,Coffee County,Alabama,80.1,97,1.3,78.8
AL-033,Colbert County,Alabama,78.1,108,2.3,75.8
AL-035,Conecuh County,Alabama,79.2,74,0.2,79
AL-037,Coosa County,Alabama,78.2,101,1.5,76.7
AL-039,Covington County,Alabama,79.8,89,0.8,79
AL-041,Crenshaw County,Alabama,79.2,95,1.1,78.1
AL-043,Cullman County,Alabama,77.6,106,2,75.6
AL-045,Dale County,Alabama,80.4,97,1.3,79.1
AL-047,Dallas County,Alabama,79.5,91,0.9,78.6
AL-049,DeKalb County,Alabama,76.5,106,2,74.5
AL-051,Elmore County,Alabama,79.8,104,1.8,78
AL-053,Escambia County,Alabama,79.6,78,0.4,79.2
AL-055,Etowah County,Alabama,78.9,114,2.8,76.1
AL-057,Fayette County,Alabama,78.5,95,1.3,77.2
AL-059,Franklin County,Alabama,77.7,106,2.1,75.6
AL-061,Geneva County,Alabama,80.6,98,1.3,79.3
AL-063,Greene County,Alabama,79.2,80,0.4,78.8
AL-065,Hale County,Alabama,79,79,0.5,78.5
AL-067,Henry County,Alabama,80.2,90,0.9,79.3
AL-069,Houston County,Alabama,81.1,98,1.4,79.7
AL-071,Jackson County,Alabama,76.8,106,2,74.8
AL-073,Jefferson County,Alabama,78.8,106,1.9,76.9
AL-075,Lamar County,Alabama,78.6,91,1.2,77.4
AL-077,Lauderdale County,Alabama,77.5,107,2.1,75.4
AL-079,Lawrence County,Alabama,77.4,102,1.7,75.7
AL-081,Lee County,Alabama,78.4,97,1.2,77.2
AL-083,Limestone County,Alabama,77.4,102,1.8,75.6
AL-085,Lowndes County,Alabama,80,97,1.4,78.6
AL-087,Macon County,Alabama,79.8,103,1.6,78.2
AL-089,Madison County,Alabama,77.8,108,2.2,75.6
AL-091,Marengo County,Alabama,79,79,0.4,78.6
AL-093,Marion County,Alabama,77.4,95,1.2,76.2
AL-095,Marshall County,Alabama,78,111,2.4,75.6
AL-097,Mobile County,Alabama,80.2,96,1,79.2
AL-099,Monroe County,Alabama,79.2,77,0.4,78.8
AL-101,Montgomery County,Alabama,80.4,101,1.9,78.5
AL-103,Morgan County,Alabama,77.8,107,2,75.8
AL-105,Perry County,Alabama,78.7,80,0.6,78.1
AL-107,Pickens County,Alabama,79.2,89,0.9,78.3
AL-109,Pike County,Alabama,79.4,92,1,78.4
AL-111,Randolph County,Alabama,77.3,109,2.1,75.2
AL-113,Russell County,Alabama,79,84,0.7,78.3
AL-115,St. Clair County,Alabama,78.6,111,2.4,76.2
AL-117,Shelby County,Alabama,78.5,103,1.6,76.9
AL-119,Sumter County,Alabama,79.1,76,0.4,78.7
AL-121,Talladega County,Alabama,78.2,102,1.7,76.5
AL-123,Tallapoosa County,Alabama,78.3,107,1.8,76.5
AL-125,Tuscaloosa County,Alabama,79.3,93,1.1,78.2
AL-127,Walker County,Alabama,78.5,103,1.6,76.9
AL-129,Washington County,Alabama,79.7,88,0.7,79
AL-131,Wilcox County,Alabama,79.4,84,0.7,78.7
AL-133,Winston County,Alabama,77,100,1.5,75.5
AZ-001,Apache County,Arizona,68.6,111,3.1,65.5
AZ-003,Cochise County,Arizona,78.9,115,3.4,75.5
AZ-005,Coconino County,Arizona,71.4,114,4,67.4
AZ-007,Gila County,Arizona,76.9,112,3.7,73.2
AZ-009,Graham County,Arizona,79.6,118,3.8,75.8
AZ-011,Greenlee County,Arizona,74.1,114,3.2,70.9
AZ-012,La Paz County,Arizona,89.8,118,4.8,85
AZ-013,Maricopa County,Arizona,88.1,120,4.4,83.7
AZ-015,Mohave County,Arizona,81.4,120,4.8,76.6
AZ-017,Navajo County,Arizona,70.3,108,3.1,67.2
AZ-019,Pima County,Arizona,84.6,117,3.7,80.9
AZ-021,Pinal County,Arizona,86.9,117,4,82.9
AZ-023,Santa Cruz County,Arizona,77.2,115,3.1,74.1
AZ-025,Yavapai County,Arizona,77,119,4.6,72.4
AZ-027,Yuma County,Arizona,88.9,119,4.7,84.2
AR-001,Arkansas County,Arkansas,79.8,101,1.4,78.4
AR-003,Ashley County,Arkansas,79.4,87,0.9,78.5
AR-005,Baxter County,Arkansas,75.5,101,1.9,73.6
AR-007,Benton County,Arkansas,75.7,102,2.1,73.6
AR-009,Boone County,Arkansas,74.8,101,1.7,73.1
AR-011,Bradley County,Arkansas,79.4,95,1.2,78.2
AR-013,Calhoun County,Arkansas,79.3,94,1.1,78.2
AR-015,Carroll County,Arkansas,74.8,98,1.7,73.1
AR-017,Chicot County,Arkansas,79.6,80,0.4,79.2
AR-019,Clark County,Arkansas,78.6,89,0.9,77.7
AR-021,Clay County,Arkansas,78.2,97,1.7,76.5
AR-023,Cleburne County,Arkansas,76.8,104,1.9,74.9
AR-025,Cleveland County,Arkansas,79.2,94,1.2,78
AR-027,Columbia County,Arkansas,79.2,89,0.8,78.4
AR-029,Conway County,Arkansas,78.5,105,2,76.5
AR-031,Craighead County,Arkansas,79.1,103,2.1,77
AR-033,Crawford County,Arkansas,77.6,109,2.4,75.2
AR-035,Crittenden County,Arkansas,79.8,96,1.4,78.4
AR-037,Cross County,Arkansas,79.4,99,1.5,77.9
AR-039,Dallas County,Arkansas,78.6,88,0.8,77.8
AR-041,Desha County,Arkansas,79.3,83,0.5,78.8
AR-043,Drew County,Arkansas,79.1,84,0.6,78.5
AR-045,Faulkner County,Arkansas,78.4,103,1.7,76.7
AR-047,Franklin County,Arkansas,77.4,108,2.3,75.1
AR-049,Fulton County,Arkansas,75.6,106,2.4,73.2
AR-051,Garland County,Arkansas,77.8,94,1.4,76.4
AR-053,Grant County,Arkansas,79,96,1.1,77.9
AR-055,Greene County,Arkansas,78.4,100,1.8,76.6
AR-057,Hempstead County,Arkansas,79.2,97,1.3,77.9
AR-059,Hot Spring County,Arkansas,78.1,87,0.7,77.4
AR-061,Howard County,Arkansas,78,97,1.4,76.6
AR-063,Independence County,Arkansas,77,100,1.7,75.3
AR-065,Izard County,Arkansas,75.7,100,1.7,74
AR-067,Jackson County,Arkansas,78.7,104,2.1,76.6
AR-069,Jefferson County,Arkansas,79.2,94,1,78.2
AR-071,Johnson County,Arkansas,76.6,109,2.1,74.5
AR-073,Lafayette County,Arkansas,79.9,97,1.2,78.7
AR-075,Lawrence County,Arkansas,77.8,100,1.8,76
AR-077,Lee County,Arkansas,79.8,105,1.5,78.3
AR-079,Lincoln County,Arkansas,79.4,92,1,78.4
