February 2019 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,58.7,128,9.5,49.2
AL-003,Baldwin County,Alabama,61.8,126,8.2,53.6
AL-005,Barbour County,Alabama,58,122,7.4,50.6
AL-007,Bibb County,Alabama,55.8,125,8.5,47.3
AL-009,Blount County,Alabama,52.5,124,8,44.5
AL-011,Bullock County,Alabama,58.5,125,8.8,49.7
AL-013,Butler County,Alabama,60.2,126,9.7,50.5
AL-015,Calhoun County,Alabama,52.7,122,7.4,45.3
AL-017,Chambers County,Alabama,54.6,125,8.1,46.5
AL-019,Cherokee County,Alabama,51.4,122,7,44.4
AL-021,Chilton County,Alabama,56.5,126,8.9,47.6
AL-023,Choctaw County,Alabama,58.5,125,8.4,50.1
AL-025,Clarke County,Alabama,60.8,128,10,50.8
AL-027,Clay County,Alabama,53.2,124,7.5,45.7
AL-029,Cleburne County,Alabama,52,124,7.7,44.4
AL-031,Coffee County,Alabama,59.1,124,7.5,51.6
AL-033,Colbert County,Alabama,49.8,120,6.9,42.9
AL-035,Conecuh County,Alabama,61.2,126,9.5,51.7
AL-037,Coosa County,Alabama,55.5,124,8.1,47.4
AL-039,Covington County,Alabama,60.2,125,8.3,51.9
AL-041,Crenshaw County,Alabama,58.9,125,8.5,50.4
AL-043,Cullman County,Alabama,51.9,124,7.9,44
AL-045,Dale County,Alabama,59.2,122,7.3,51.9
AL-047,Dallas County,Alabama,58.9,127,9.2,49.7
AL-049,DeKalb County,Alabama,49.9,122,7,42.9
AL-051,Elmore County,Alabama,58.2,126,9.2,49
AL-053,Escambia County,Alabama,61.4,126,8.8,52.6
AL-055,Etowah County,Alabama,51.8,121,7,44.8
AL-057,Fayette County,Alabama,53.1,122,7.3,45.8
AL-059,Franklin County,Alabama,50,120,6.8,43.2
AL-061,Geneva County,Alabama,60,121,7.5,52.5
AL-063,Greene County,Alabama,54.4,118,6.2,48.2
AL-065,Hale County,Alabama,55.6,123,7.4,48.2
