March 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,58.4,86,2.3,56.1
AL-003,Baldwin County,Alabama,62.3,93,2.7,59.6
AL-005,Barbour County,Alabama,59.9,93,2.8,57.1
AL-007,Bibb County,Alabama,56.6,84,2,54.6
AL-009,Blount County,Alabama,55.1,97,3.1,52
AL-011,Bullock County,Alabama,58.7,84,2.5,56.2
AL-013,Butler County,Alabama,59.7,89,2.6,57.1
AL-015,Calhoun County,Alabama,55.5,93,2.9,52.6
AL-017,Chambers County,Alabama,55.6,87,2.2,53.4
AL-019,Cherokee County,Alabama,54.3,87,2.4,51.9
AL-021,Chilton County,Alabama,57.5,92,2.8,54.7
AL-023,Choctaw County,Alabama,59,84,2,57
AL-025,Clarke County,Alabama,59.6,86,2.1,57.5
AL-027,Clay County,Alabama,55,88,2.2,52.8
AL-029,Cleburne County,Alabama,54.5,92,2.9,51.6
AL-031,Coffee County,Alabama,61.1,99,3,58.1
AL-033,Colbert County,Alabama,54.4,98,3.6,50.8
AL-035,Conecuh County,Alabama,60.2,85,2.2,58
AL-037,Coosa County,Alabama,56.8,89,2.4,54.4
AL-039,Covington County,Alabama,60.7,90,2.6,58.1
AL-041,Crenshaw County,Alabama,59.6,87,2.7,56.9
AL-043,Cullman County,Alabama,54.6,98,3,51.6
AL-045,Dale County,Alabama,61.3,93,2.9,58.4
AL-047,Dallas County,Alabama,58.4,81,1.7,56.7
AL-049,DeKalb County,Alabama,53.1,89,2.5,50.6
AL-051,Elmore County,Alabama,57.9,83,2.1,55.8
AL-053,Escambia County,Alabama,61,85,2.2,58.8
AL-055,Etowah County,Alabama,55.4,100,3.1,52.3
AL-057,Fayette County,Alabama,55.8,90,2.4,53.4
AL-059,Franklin County,Alabama,54.6,98,3.7,50.9
AL-061,Geneva County,Alabama,61.4,87,2.5,58.9
AL-063,Greene County,Alabama,56.8,78,1,55.8
AL-065,Hale County,Alabama,56.7,77,1,55.7
AL-067,Henry County,Alabama,61.2,94,2.9,58.3
AL-069,Houston County,Alabama,61.9,89,2.6,59.3
AL-071,Jackson County,Alabama,53.7,100,3.1,50.6
AL-073,Jefferson County,Alabama,55.9,90,2.5,53.4
AL-075,Lamar County,Alabama,55.9,89,2.4,53.5
AL-077,Lauderdale County,Alabama,53.5,96,3.1,50.4
AL-079,Lawrence County,Alabama,53.5,87,2.4,51.1
AL-081,Lee County,Alabama,56.5,78,1.6,54.9
AL-083,Limestone County,Alabama,53,86,2.1,50.9
AL-085,Lowndes County,Alabama,59.2,85,2.3,56.9
AL-087,Macon County,Alabama,57.7,79,1.7,56
AL-089,Madison County,Alabama,53.5,93,2.5,51
AL-091,Marengo County,Alabama,57.8,78,1.2,56.6
AL-093,Marion County,Alabama,54.8,92,2.8,52
AL-095,Marshall County,Alabama,54.9,104,3.3,51.6
AL-097,Mobile County,Alabama,61.5,86,2.3,59.2
AL-099,Monroe County,Alabama,60.1,86,2.3,57.8
AL-101,Montgomery County,Alabama,59,87,2.4,56.6
AL-103,Morgan County,Alabama,53.8,91,2.4,51.4
AL-105,Perry County,Alabama,57,80,1.3,55.7
AL-107,Pickens County,Alabama,56.6,84,1.9,54.7
AL-109,Pike County,Alabama,59.8,88,2.8,57
AL-111,Randolph County,Alabama,55,90,2.7,52.3
AL-113,Russell County,Alabama,58.4,85,2.2,56.2
AL-115,St. Clair County,Alabama,55.4,89,2.6,52.8
AL-117,Shelby County,Alabama,56.3,89,2.4,53.9
AL-119,Sumter County,Alabama,57.2,77,1,56.2
AL-121,Talladega County,Alabama,55.9,85,2.1,53.8
AL-123,Tallapoosa County,Alabama,56,82,1.9,54.1
AL-125,Tuscaloosa County,Alabama,56.6,84,2,54.7
AL-127,Walker County,Alabama,55.7,92,2.6,53.1
AL-129,Washington County,Alabama,60.2,86,2.2,58
AL-131,Wilcox County,Alabama,59,82,1.7,57.3
AL-133,Winston County,Alabama,54,91,2.5,51.5
AZ-001,Apache County,Arizona,40.8,79,0.9,39.9
AZ-003,Cochise County,Arizona,51.7,61,0.3,51.4
AZ-005,Coconino County,Arizona,43.9,87,2,41.9
AZ-007,Gila County,Arizona,50.7,93,2.1,48.6
AZ-009,Graham County,Arizona,51.5,77,0.9,50.6
AZ-011,Greenlee County,Arizona,48.2,92,1.8,46.4
AZ-012,La Paz County,Arizona,64.3,115,3.9,60.4
AZ-013,Maricopa County,Arizona,62.5,108,3.4,59.1
