April 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,63.2,54,-0.4,63.6
AL-003,Baldwin County,Alabama,67.6,94,1.2,66.4
AL-005,Barbour County,Alabama,64.2,58,-0.3,64.5
AL-007,Bibb County,Alabama,62,58,-0.5,62.5
AL-009,Blount County,Alabama,60.4,63,0.1,60.3
AL-011,Bullock County,Alabama,63.2,53,-0.6,63.8
AL-013,Butler County,Alabama,63.3,45,-1.1,64.4
AL-015,Calhoun County,Alabama,60.5,61,-0.2,60.7
AL-017,Chambers County,Alabama,59.5,30,-1.8,61.3
AL-019,Cherokee County,Alabama,59.9,55,-0.5,60.4
AL-021,Chilton County,Alabama,62,58,-0.4,62.4
AL-023,Choctaw County,Alabama,65,79,0.6,64.4
AL-025,Clarke County,Alabama,65.1,71,0.4,64.7
AL-027,Clay County,Alabama,59.8,51,-0.8,60.6
AL-029,Cleburne County,Alabama,59.7,63,0,59.7
AL-031,Coffee County,Alabama,65.2,68,0.1,65.1
AL-033,Colbert County,Alabama,60.2,73,0.4,59.8
AL-035,Conecuh County,Alabama,64.8,59,-0.3,65.1
AL-037,Coosa County,Alabama,61.4,56,-0.6,62
AL-039,Covington County,Alabama,65.2,65,-0.1,65.3
AL-041,Crenshaw County,Alabama,63.6,53,-0.7,64.3
AL-043,Cullman County,Alabama,60.3,70,0.2,60.1
AL-045,Dale County,Alabama,65.6,74,0.2,65.4
AL-047,Dallas County,Alabama,63.4,52,-0.6,64
AL-049,DeKalb County,Alabama,58.3,44,-0.9,59.2
AL-051,Elmore County,Alabama,62.6,48,-0.7,63.3
AL-053,Escambia County,Alabama,66,71,0.3,65.7
AL-055,Etowah County,Alabama,60.2,55,-0.4,60.6
AL-057,Fayette County,Alabama,61.4,60,-0.3,61.7
AL-059,Franklin County,Alabama,60.4,80,0.6,59.8
AL-061,Geneva County,Alabama,66.1,73,0.2,65.9
AL-063,Greene County,Alabama,62.6,48,-1,63.6
AL-065,Hale County,Alabama,62.4,44,-1,63.4
AL-067,Henry County,Alabama,65.6,73,0.2,65.4
AL-069,Houston County,Alabama,66.2,68,-0.1,66.3
AL-071,Jackson County,Alabama,58.7,49,-0.7,59.4
AL-073,Jefferson County,Alabama,61.5,66,0,61.5
AL-075,Lamar County,Alabama,62,72,0.2,61.8
AL-077,Lauderdale County,Alabama,58.9,55,-0.6,59.5
AL-079,Lawrence County,Alabama,59.1,50,-0.8,59.9
AL-081,Lee County,Alabama,60.4,22,-2,62.4
AL-083,Limestone County,Alabama,58.6,41,-1.2,59.8
AL-085,Lowndes County,Alabama,63.9,53,-0.5,64.4
AL-087,Macon County,Alabama,61.9,34,-1.6,63.5
AL-089,Madison County,Alabama,59.1,49,-0.7,59.8
AL-091,Marengo County,Alabama,63.5,57,-0.6,64.1
AL-093,Marion County,Alabama,60.4,62,-0.1,60.5
AL-095,Marshall County,Alabama,60,63,-0.1,60.1
AL-097,Mobile County,Alabama,67.7,98,1.5,66.2
AL-099,Monroe County,Alabama,65.1,72,0.2,64.9
AL-101,Montgomery County,Alabama,63.8,55,-0.3,64.1
AL-103,Morgan County,Alabama,59.6,52,-0.5,60.1
AL-105,Perry County,Alabama,62.4,50,-0.9,63.3
AL-107,Pickens County,Alabama,62.7,67,-0.1,62.8
AL-109,Pike County,Alabama,64.1,59,-0.3,64.4
AL-111,Randolph County,Alabama,59.7,52,-0.5,60.2
AL-113,Russell County,Alabama,62,31,-1.7,63.7
AL-115,St. Clair County,Alabama,60.2,53,-0.6,60.8
AL-117,Shelby County,Alabama,61.4,58,-0.3,61.7
AL-119,Sumter County,Alabama,63.2,57,-0.6,63.8
AL-121,Talladega County,Alabama,60.7,51,-0.8,61.5
AL-123,Tallapoosa County,Alabama,60.4,42,-1.4,61.8
AL-125,Tuscaloosa County,Alabama,62.4,60,-0.4,62.8
AL-127,Walker County,Alabama,61,58,-0.3,61.3
AL-129,Washington County,Alabama,66.1,86,0.8,65.3
AL-131,Wilcox County,Alabama,63.9,53,-0.5,64.4
AL-133,Winston County,Alabama,59.4,50,-0.6,60
AZ-001,Apache County,Arizona,50.2,109,2.8,47.4
AZ-003,Cochise County,Arizona,62,117,3.7,58.3
AZ-005,Coconino County,Arizona,53.4,116,3.9,49.5
AZ-007,Gila County,Arizona,59.8,120,4.4,55.4
AZ-009,Graham County,Arizona,61,113,3.4,57.6
AZ-011,Greenlee County,Arizona,57.4,118,4.1,53.3
AZ-012,La Paz County,Arizona,71.9,117,4.1,67.8
AZ-013,Maricopa County,Arizona,70.7,118,4.4,66.3
AZ-015,Mohave County,Arizona,61.7,108,3.4,58.3
AZ-017,Navajo County,Arizona,52.4,113,3.4,49
AZ-019,Pima County,Arizona,67.8,117,4.1,63.7
AZ-021,Pinal County,Arizona,68.9,116,4,64.9
AZ-023,Santa Cruz County,Arizona,61.1,120,3.8,57.3
AZ-025,Yavapai County,Arizona,59.5,119,4.6,54.9
AZ-027,Yuma County,Arizona,72.1,113,3.8,68.3
AR-001,Arkansas County,Arkansas,61.8,56,-0.5,62.3
AR-003,Ashley County,Arkansas,64.1,84,0.8,63.3
AR-005,Baxter County,Arkansas,56.6,46,-0.7,57.3
AR-007,Benton County,Arkansas,57.2,63,-0.2,57.4
AR-009,Boone County,Arkansas,56.3,56,-0.5,56.8
AR-011,Bradley County,Arkansas,63.2,80,0.4,62.8
AR-013,Calhoun County,Arkansas,62.3,58,-0.5,62.8
AR-015,Carroll County,Arkansas,56,50,-0.8,56.8
AR-017,Chicot County,Arkansas,63.8,71,0.2,63.6
AR-019,Clark County,Arkansas,61,44,-1.1,62.1
AR-021,Clay County,Arkansas,57.3,28,-1.8,59.1
AR-023,Cleburne County,Arkansas,58.6,54,-0.4,59
AR-025,Cleveland County,Arkansas,61.8,59,-0.6,62.4
AR-027,Columbia County,Arkansas,63,62,-0.2,63.2
AR-029,Conway County,Arkansas,59.8,58,-0.5,60.3
AR-031,Craighead County,Arkansas,58.2,35,-1.5,59.7
AR-033,Crawford County,Arkansas,58.3,42,-1.1,59.4
AR-035,Crittenden County,Arkansas,60.6,54,-0.8,61.4
AR-037,Cross County,Arkansas,59.9,47,-1.1,61
AR-039,Dallas County,Arkansas,60.8,33,-1.5,62.3
AR-041,Desha County,Arkansas,62.5,59,-0.3,62.8
AR-043,Drew County,Arkansas,63.1,76,0.3,62.8
AR-045,Faulkner County,Arkansas,59.8,50,-0.8,60.6
AR-047,Franklin County,Arkansas,58.1,42,-1.3,59.4
AR-049,Fulton County,Arkansas,56.3,49,-0.7,57
AR-051,Garland County,Arkansas,60.6,61,-0.2,60.8
AR-053,Grant County,Arkansas,60.8,34,-1.4,62.2
AR-055,Greene County,Arkansas,57.6,30,-1.7,59.3
AR-057,Hempstead County,Arkansas,62.1,62,-0.3,62.4
AR-059,Hot Spring County,Arkansas,61,51,-0.8,61.8
AR-061,Howard County,Arkansas,61.1,68,-0,61.1
AR-063,Independence County,Arkansas,57.8,40,-1.2,59
AR-065,Izard County,Arkansas,56.4,36,-1.3,57.7
AR-067,Jackson County,Arkansas,58.4,36,-1.4,59.8
AR-069,Jefferson County,Arkansas,61.6,52,-0.7,62.3
AR-071,Johnson County,Arkansas,57.8,49,-0.9,58.7
AR-073,Lafayette County,Arkansas,63.8,82,0.6,63.2
AR-075,Lawrence County,Arkansas,57.2,28,-1.8,59
AR-077,Lee County,Arkansas,61.1,52,-0.5,61.6
AR-079,Lincoln County,Arkansas,62.5,67,0,62.5
AR-081,Little River County,Arkansas,63.5,85,1.2,62.3
AR-083,Logan County,Arkansas,59.3,50,-0.9,60.2
AR-085,Lonoke County,Arkansas,60.7,45,-1,61.7
AR-087,Madison County,Arkansas,55.8,54,-0.7,56.5
AR-089,Marion County,Arkansas,56.6,51,-0.6,57.2
AR-091,Miller County,Arkansas,64.4,90,1.2,63.2
AR-093,Mississippi County,Arkansas,58.9,36,-1.4,60.3
AR-095,Monroe County,Arkansas,61.2,53,-0.6,61.8
AR-097,Montgomery County,Arkansas,60.6,76,0.5,60.1
AR-099,Nevada County,Arkansas,61.6,48,-1,62.6
AR-101,Newton County,Arkansas,55.7,51,-0.7,56.4
AR-103,Ouachita County,Arkansas,61.7,43,-1.3,63
AR-105,Perry County,Arkansas,59.9,45,-0.9,60.8
AR-107,Phillips County,Arkansas,61.5,54,-0.5,62
AR-109,Pike County,Arkansas,60.8,62,-0.2,61
