,Year,Month,Initial Fees and Charges (%),Effective Rate (%),Term to Maturity,Loan Amount ($thou),Purchase Price ($thou),Loan-to-Price Ratio (%),Share of Total Market (%)
0,1990,1,1.86,10.07,15,78.1,122.1,66.5,11.8
1,1990,2,1.94,10.14,15,83.3,128.7,66.5,10.8
2,1990,3,2.03,10.3,15,72.3,111.1,69,12.4
3,1990,4,2,10.44,15,74.9,115.8,68.4,10.7
4,1990,5,1.96,10.43,15,83.4,129.3,68,11.7
5,1990,6,1.98,10.52,15,84.1,127.8,67.4,11.1
6,1990,7,1.88,10.49,15,77.3,119,68,10.6
7,1990,8,2.01,10.43,15,76.6,114.9,68.8,12.1
8,1990,9,1.79,10.33,15,71.7,115.4,65.8,15.3
9,1990,10,1.83,10.33,15,74.3,118.8,65.3,13.3
10,1990,11,1.81,10.32,15,82,124.2,68.8,13.1
11,1990,12,1.73,10.15,15,82.3,133.8,64.4,11.1
12,1991,1,1.5,10.04,15,77.7,121.8,67.5,14.7
13,1991,2,1.56,10.04,15,80.7,126.2,69.3,14.6
14,1991,3,1.42,9.56,15,81.6,127.8,67.7,20.9
15,1991,4,1.95,9.68,15,79.2,128,65.6,15.6
16,1991,5,1.77,9.78,15,76.2,121.3,65.9,14.5
17,1991,6,1.7,9.72,15,82.2,133.3,66,13
18,1991,7,1.78,9.77,15,85.6,134.4,67.3,16.7
19,1991,8,1.82,9.75,15,75,115.2,67.7,12.8
20,1991,9,1.52,9.42,15,81.6,130.6,65.8,15.6
21,1991,10,1.55,9.28,15,80,127.3,67.4,16.9
22,1991,11,1.58,9.04,15,67.3,111.3,66.5,15.9
23,1991,12,1.47,8.73,15,73.1,117,67.3,17.4
24,1992,1,0.98,8.35,15,97.2,155.1,65.4,18.2
25,1992,2,1.48,8.52,15,82.8,139,63.7,20.7
26,1992,3,1.63,8.8,15,79.3,127.8,65.1,16.2
27,1992,4,1.74,8.86,15,80.7,127.7,67.8,13.8
28,1992,5,1.64,8.73,15,83.2,129.2,68.6,13.4
29,1992,6,1.5,8.66,15,77.8,117.2,71,14.5
30,1992,7,1.24,8.14,15,82.3,130.8,68.1,16.3
31,1992,8,1.78,8.16,15,81,124.9,68.3,18
32,1992,9,1.45,7.9,15,83.7,134.7,66.3,18.9
33,1992,10,1.31,7.89,15,86.7,138,66.5,20.6
34,1992,11,1.67,8.07,15,79.5,129,66.2,20.9
35,1992,12,1.6,8.21,15,80.6,124.9,68.4,16.3
